target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
dachs-local,16,Q01,csv,32,1,976,15.865,62.407503,0.88693,122.645822,1.965242,0.125662,1127385770.666667,1130459136,
dachs-local,16,Q01,csv,32,2,968,15.849,62.017178,0.892669,121.374987,1.957119,0.125387,1128546986.666667,1136693248,
dachs-local,16,Q01,csv,32,3,968,15.741,62.149633,0.971691,121.735989,1.958756,0.12576,1128226816.0,1135403008,
dachs-local,16,Q01,csv,64,1,968,15.307,63.645238,0.948976,124.778338,1.960529,0.128903,1130001959.384615,1135521792,
dachs-local,16,Q01,csv,64,2,984,15.427,64.540976,0.93569,126.231472,1.955835,0.128284,1129711458.461539,1135951872,
dachs-local,16,Q01,csv,64,3,979,15.463,64.347384,0.938664,126.353761,1.963619,0.129064,1131439340.307692,1136611328,
dachs-local,16,Q01,csv,8,1,1043,17.337,60.364697,0.916974,121.466221,2.012206,0.116459,1140786517.333333,1144414208,
dachs-local,16,Q01,csv,8,2,1057,17.563,60.369184,0.916677,121.575912,2.013874,0.11502,1141120682.666667,1144123392,
dachs-local,16,Q01,csv,8,3,1053,17.442,60.40168,0.91638,121.906374,2.018261,0.115771,1140615509.333333,1145999360,
dachs-local,16,Q02,csv,32,1,657,10.45,63.513734,0.872389,363.669198,5.725836,0.55353,1140524032.0,1149960192,
dachs-local,16,Q02,csv,32,2,663,10.584,63.833325,0.868482,366.5252,5.74191,0.552828,1143422293.333333,1159020544,
dachs-local,16,Q02,csv,32,3,663,10.554,63.78319,0.947751,368.309364,5.774395,0.555519,1139580297.846154,1144463360,
dachs-local,16,Q02,csv,64,1,695,10.628,68.689206,0.95373,395.565176,5.758768,0.569159,1142171355.428571,1153114112,
dachs-local,16,Q02,csv,64,2,672,10.209,68.098333,0.961882,389.021154,5.712638,0.578901,1142785462.857143,1155063808,
dachs-local,16,Q02,csv,64,3,696,10.585,69.104329,0.947999,397.78998,5.756368,0.571537,1145891108.571429,1158381568,
dachs-local,16,Q02,csv,8,1,673,11.158,60.617656,0.91458,361.328421,5.960778,0.536892,1141783552.0,1161519104,
dachs-local,16,Q02,csv,8,2,661,10.899,60.703591,0.912154,356.614402,5.874684,0.539507,1133207210.666667,1144606720,
dachs-local,16,Q02,csv,8,3,669,11.049,60.679191,0.912946,357.948196,5.899027,0.53505,1136353962.666667,1148747776,
dachs-local,16,Q03,csv,32,1,704,11.279,63.265805,0.874989,135.590776,2.143192,0.192601,1137593344.0,1140645888,
dachs-local,16,Q03,csv,32,2,704,11.325,63.193904,0.876523,139.385752,2.205683,0.197991,1140623701.333333,1149153280,
dachs-local,16,Q03,csv,32,3,703,11.335,63.130593,0.956748,143.622124,2.275,0.204299,1139768713.846154,1152929792,
dachs-local,16,Q03,csv,64,1,704,10.851,68.497294,0.955211,139.285137,2.03344,0.197848,1141783990.857143,1151967232,
dachs-local,16,Q03,csv,64,2,704,11.2,66.528988,0.98367,146.570163,2.203102,0.208196,1147169060.571429,1165500416,
dachs-local,16,Q03,csv,64,3,704,11.276,65.980232,0.915483,149.341097,2.263422,0.212132,1143225422.769231,1153069056,
dachs-local,16,Q03,csv,8,1,718,11.891,60.736333,0.911242,132.802912,2.186548,0.184962,1132419413.333333,1137303552,
dachs-local,16,Q03,csv,8,2,721,11.945,60.55721,0.914076,132.713007,2.191531,0.184068,1134767104.0,1145806848,
dachs-local,16,Q03,csv,8,3,716,11.889,60.388545,0.916436,136.852917,2.266207,0.191135,1132303018.666667,1141432320,
dachs-local,16,Q04,csv,32,1,703,11.259,63.755731,0.947168,121.510481,1.905875,0.172846,1143578624.0,1146957824,
dachs-local,16,Q04,csv,32,2,703,11.242,64.104963,0.863506,122.180761,1.905949,0.173799,1146521258.666667,1151950848,
dachs-local,16,Q04,csv,32,3,705,11.367,63.76862,0.868424,121.635783,1.907455,0.172533,1146791936.0,1149411328,
dachs-local,16,Q04,csv,64,1,704,11.382,65.776094,0.918055,125.636271,1.91006,0.178461,1146283244.307692,1152704512,
dachs-local,16,Q04,csv,64,2,721,11.107,66.59222,0.906991,127.607868,1.916258,0.176987,1146625102.769231,1150644224,
