target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
dachs-local,dachs,Q01,csv,32,1,976,0.0,15.865,2.009203,2.150176,2.149772,978.0,0.015,True,16
dachs-local,dachs,Q01,csv,32,2,968,0.0,15.849,2.011973,2.168491,2.16805,978.0,0.02,True,16
dachs-local,dachs,Q01,csv,32,3,968,0.0,15.741,2.027755,2.177964,2.177469,978.0,0.02,True,16
dachs-local,dachs,Q01,csv,64,1,968,0.0,15.307,4.039412,4.247179,4.246809,978.0,0.03,True,16
dachs-local,dachs,Q01,csv,64,2,984,0.0,15.427,4.048116,4.239768,4.239263,978.0,0.02,True,16
dachs-local,dachs,Q01,csv,64,3,979,0.0,15.463,4.043795,4.237155,4.236699,978.0,0.025,True,16
dachs-local,dachs,Q01,csv,8,1,1043,0.0,17.337,0.475208,0.560151,0.559585,978.0,0.015,True,16
dachs-local,dachs,Q01,csv,8,2,1057,0.0,17.563,0.463904,0.562703,0.562179,978.0,0.02,True,16
dachs-local,dachs,Q01,csv,8,3,1053,0.0,17.442,0.466905,0.56007,0.559627,978.0,0.02,True,16
dachs-local,dachs,Q02,csv,32,1,657,0.0,10.45,3.021717,3.255283,3.254793,37396.6,0.02,True,16
dachs-local,dachs,Q02,csv,32,2,663,0.0,10.584,3.016754,3.224115,3.223628,37409.1,0.015,True,16
dachs-local,dachs,Q02,csv,32,3,663,0.0,10.554,3.021628,3.245048,3.244475,37423.3,0.02,True,16
dachs-local,dachs,Q02,csv,64,1,695,0.0,10.628,6.029607,6.354321,6.353928,37412.4,0.02,True,16
dachs-local,dachs,Q02,csv,64,2,672,0.0,10.209,6.067214,6.329883,6.329401,37412.6,0.02,True,16
dachs-local,dachs,Q02,csv,64,3,696,0.0,10.585,6.026542,6.264582,6.264069,37428.7,0.02,True,16
dachs-local,dachs,Q02,csv,8,1,673,0.0,11.158,0.714514,0.886651,0.886147,37409.2,0.015,True,16
dachs-local,dachs,Q02,csv,8,2,661,0.0,10.899,0.73307,0.900516,0.900054,37408.2,0.015,True,16
dachs-local,dachs,Q02,csv,8,3,669,0.0,11.049,0.729243,0.891845,0.890756,37434.6,0.015,True,16
dachs-local,dachs,Q03,csv,32,1,704,0.0,11.279,2.813349,3.106504,3.106005,25901.3,0.02,True,16
dachs-local,dachs,Q03,csv,32,2,704,0.0,11.325,2.811155,3.026139,3.025666,25479.2,0.015,True,16
dachs-local,dachs,Q03,csv,32,3,703,0.0,11.335,2.819198,3.0317,3.031175,24746.9,0.02,True,16
dachs-local,dachs,Q03,csv,64,1,704,0.0,10.851,5.676156,8.63538,8.634904,25980.8,0.03,True,16
dachs-local,dachs,Q03,csv,64,2,704,0.0,11.2,5.671064,5.96894,5.968436,25355.1,0.03,True,16
dachs-local,dachs,Q03,csv,64,3,704,0.0,11.276,5.610585,5.900512,5.900046,24844.9,0.03,True,16
dachs-local,dachs,Q03,csv,8,1,718,0.0,11.891,0.667745,0.827441,0.826991,25385.1,0.01,True,16
dachs-local,dachs,Q03,csv,8,2,721,0.0,11.945,0.671073,0.828805,0.828351,25277.7,0.015,True,16
dachs-local,dachs,Q03,csv,8,3,716,0.0,11.889,0.68204,0.819875,0.81941,24860.6,0.015,True,16
dachs-local,dachs,Q04,csv,32,1,703,0.0,11.259,2.826149,3.056497,3.056074,58460.1,0.02,True,16
dachs-local,dachs,Q04,csv,32,2,703,0.0,11.242,2.83836,3.054287,3.0538,58456.3,0.015,True,16
dachs-local,dachs,Q04,csv,32,3,705,0.0,11.367,2.801221,3.068645,3.068283,58491.7,0.025,True,16
dachs-local,dachs,Q04,csv,64,1,704,0.0,11.382,5.653753,5.920587,5.920079,58462.9,0.025,True,16
dachs-local,dachs,Q04,csv,64,2,721,0.0,11.107,5.604827,5.828192,5.827705,58444.1,0.025,True,16
dachs-local,dachs,Q04,csv,64,3,704,0.0,11.268,5.643105,5.915855,5.915382,58494.5,0.03,True,16
dachs-local,dachs,Q04,csv,8,1,723,0.0,11.967,0.676759,0.81371,0.813143,58464.8,0.015,True,16
dachs-local,dachs,Q04,csv,8,2,723,0.0,11.951,0.672112,0.813213,0.8124,58448.1,0.015,True,16
dachs-local,dachs,Q04,csv,8,3,718,0.0,11.864,0.684125,0.820666,0.82019,58477.8,0.015,True,16
dachs-local,dachs,Q05,csv,32,1,638,0.0,10.154,3.123653,3.416264,3.415771,3711.6,0.02,True,16
dachs-local,dachs,Q05,csv,32,2,628,0.0,10.023,3.147905,3.597615,3.597067,3713.4,0.02,True,16
dachs-local,dachs,Q05,csv,32,3,640,0.0,10.257,3.103397,3.363999,3.363508,3860.7,0.02,True,16
dachs-local,dachs,Q05,csv,64,1,641,0.0,9.803,6.328796,6.718426,6.717525,3702.5,0.02,True,16
dachs-local,dachs,Q05,csv,64,2,640,0.0,10.228,6.215665,6.637039,6.636688,3622.5,0.02,True,16
dachs-local,dachs,Q05,csv,64,3,640,0.0,10.148,6.231699,6.591482,6.591116,3889.3,0.025,True,16
dachs-local,dachs,Q05,csv,8,1,557,0.0,9.163,0.848427,1.142378,1.141893,3631.6,0.015,True,16
dachs-local,dachs,Q05,csv,8,2,548,0.0,9.038,0.858972,1.151081,1.150414,3933.9,0.015,True,16
dachs-local,dachs,Q05,csv,8,3,562,0.0,9.257,0.844465,1.08941,1.08893,3742.9,0.015,True,16
dachs-local,dachs,Q06,csv,32,1,608,0.0,9.767,3.2321,3.572001,3.571508,70851.1,0.015,True,16
dachs-local,dachs,Q06,csv,32,2,607,0.0,9.646,3.300089,3.585219,3.58478,70066.8,0.02,True,16
dachs-local,dachs,Q06,csv,32,3,611,0.0,9.704,3.210617,3.518527,3.518057,68734.5,0.015,True,16
dachs-local,dachs,Q06,csv,64,1,640,0.0,9.877,6.426359,6.8336,6.833133,70575.4,0.02,True,16
dachs-local,dachs,Q06,csv,64,2,640,0.0,9.729,6.546055,6.967171,6.966744,71137.4,0.02,True,16
dachs-local,dachs,Q06,csv,64,3,640,0.0,9.92,6.450293,6.845446,6.844812,69106.9,0.02,True,16
dachs-local,dachs,Q06,csv,8,1,539,0.0,8.854,0.872001,1.203375,1.202965,70109.7,0.015,True,16
dachs-local,dachs,Q06,csv,8,2,545,0.0,8.942,0.866052,1.166518,1.166039,70624.1,0.01,True,16
dachs-local,dachs,Q06,csv,8,3,544,0.0,8.954,0.872207,1.145998,1.145506,69532.4,0.01,True,16
dachs-local,dachs,Q07,csv,32,1,593,0.0,9.435,3.347621,3.633489,3.632998,19335.8,0.02,True,16
dachs-local,dachs,Q07,csv,32,2,593,0.0,9.376,3.349003,3.607876,3.607394,20597.6,0.02,True,16
dachs-local,dachs,Q07,csv,32,3,607,0.0,9.613,3.315925,3.604234,3.603732,19718.8,0.015,True,16
dachs-local,dachs,Q07,csv,64,1,605,0.0,9.069,6.862156,7.242481,7.242003,19307.4,0.02,True,16
dachs-local,dachs,Q07,csv,64,2,633,0.0,9.507,6.683186,7.110394,7.109901,20514.6,0.02,True,16
dachs-local,dachs,Q07,csv,64,3,611,0.0,9.181,6.737734,7.165039,7.164527,19873.5,0.025,True,16
dachs-local,dachs,Q07,csv,8,1,521,0.0,8.56,0.909578,1.21449,1.214014,19110.9,0.015,True,16
dachs-local,dachs,Q07,csv,8,2,515,0.0,8.495,0.915529,1.205272,1.204836,20920.7,0.01,True,16
dachs-local,dachs,Q07,csv,8,3,530,0.0,8.74,0.895156,1.133112,1.132636,19863.6,0.01,True,16
dachs-local,dachs,Q10,csv,32,1,626,0.0,9.923,3.161815,3.428862,3.428077,290632.2,0.015,True,16
dachs-local,dachs,Q10,csv,32,2,623,0.0,9.941,3.191058,3.442024,3.44114,290638.2,0.02,True,16
dachs-local,dachs,Q10,csv,32,3,632,0.0,10.103,3.159621,3.40806,3.403099,290566.8,0.02,True,16
dachs-local,dachs,Q10,csv,64,1,640,0.0,10.04,6.316899,6.684425,6.681554,290610.9,0.035,True,16
dachs-local,dachs,Q10,csv,64,2,640,0.0,10.153,6.271122,6.583456,6.582748,290727.2,0.03,True,16
dachs-local,dachs,Q10,csv,64,3,640,0.0,10.184,6.313124,6.581408,6.580511,290603.0,0.03,True,16
dachs-local,dachs,Q10,csv,8,1,635,0.0,10.483,0.765793,0.918078,0.916081,290793.2,0.015,True,16
dachs-local,dachs,Q10,csv,8,2,626,0.0,10.322,0.776712,0.942628,0.941949,290629.5,0.015,True,16
dachs-local,dachs,Q10,csv,8,3,638,0.0,10.528,0.758286,0.912244,0.911455,290568.1,0.02,True,16
dachs-local,dachs,Q11,csv,32,1,261,0.0,4.097,8.539539,13.049772,10.766078,2918772.4,0.03,True,16
dachs-local,dachs,Q11,csv,32,2,265,0.0,4.112,7.864146,12.588297,10.12524,2918104.7,0.035,True,16
dachs-local,dachs,Q11,csv,32,3,265,0.0,4.076,8.468957,12.968368,10.43591,2917936.2,0.03,True,16
dachs-local,dachs,Q11,csv,64,1,282,0.0,4.115,14.827388,24.858438,17.886186,2918920.2,0.045,True,16
dachs-local,dachs,Q11,csv,64,2,284,0.0,4.12,17.738946,20.879513,18.663955,2917812.6,0.055,True,16
dachs-local,dachs,Q11,csv,64,3,282,0.0,4.104,14.825283,25.227876,21.492459,2918316.6,0.04,True,16
dachs-local,dachs,Q11,csv,8,1,242,0.0,3.981,2.120842,2.708648,2.513912,2918851.2,0.02,True,16
dachs-local,dachs,Q11,csv,8,2,247,0.0,3.987,2.048252,2.649057,2.386977,2918321.8,0.02,True,16
dachs-local,dachs,Q11,csv,8,3,244,0.0,3.921,2.185006,2.560298,2.353595,2917961.7,0.015,True,16
dachs-local,dachs,Q12,csv,32,1,635,0.0,10.048,3.131551,3.410625,3.409813,110.0,0.015,True,16
dachs-local,dachs,Q12,csv,32,2,634,0.0,10.058,3.169122,3.462667,3.462167,110.0,0.02,True,16
dachs-local,dachs,Q12,csv,32,3,642,0.0,10.268,3.072579,3.35412,3.353514,110.0,0.02,True,16
dachs-local,dachs,Q12,csv,64,1,640,0.0,10.038,6.298553,6.679242,6.678822,110.0,0.025,True,16
dachs-local,dachs,Q12,csv,64,2,640,0.0,10.165,6.228299,6.598296,6.597297,110.0,0.02,True,16
dachs-local,dachs,Q12,csv,64,3,640,0.0,10.113,6.321648,6.634799,6.634325,110.0,0.02,True,16
dachs-local,dachs,Q12,csv,8,1,561,0.0,9.229,0.843809,1.129468,1.128996,110.0,0.01,True,16
dachs-local,dachs,Q12,csv,8,2,571,0.0,9.422,0.832282,1.070681,1.070046,110.0,0.015,True,16
dachs-local,dachs,Q12,csv,8,3,559,0.0,9.167,0.851078,1.12926,1.128843,110.0,0.015,True,16
dachs-local,dachs,Q13,csv,32,1,709,0.0,11.338,2.812945,3.108709,3.108239,2300.7,0.025,True,16
dachs-local,dachs,Q13,csv,32,2,707,0.0,11.41,2.796123,3.140078,3.139514,2300.9,0.02,True,16
dachs-local,dachs,Q13,csv,32,3,706,0.0,11.314,2.79617,3.102076,3.101599,2299.4,0.02,True,16
dachs-local,dachs,Q13,csv,64,1,702,0.0,10.758,5.67265,7.384779,7.384325,2300.6,0.03,True,16
dachs-local,dachs,Q13,csv,64,2,710,0.0,10.913,5.628876,6.011166,6.01068,2301.1,0.02,True,16
dachs-local,dachs,Q13,csv,64,3,717,0.0,10.994,5.57933,6.009213,6.008609,2299.7,0.025,True,16
dachs-local,dachs,Q13,csv,8,1,700,0.0,11.568,0.691606,0.967849,0.967262,2301.6,0.015,True,16
dachs-local,dachs,Q13,csv,8,2,706,0.0,11.699,0.683421,0.962388,0.96188,2300.6,0.015,True,16
dachs-local,dachs,Q13,csv,8,3,700,0.0,11.545,0.702287,0.974828,0.974366,2299.6,0.015,True,16
dachs-local,dachs,mix,csv,32,1,648,0.0,10.266,3.064971,3.609845,3.609284,44516.9,0.02,True,16
dachs-local,dachs,mix,csv,32,2,644,0.0,10.282,3.081468,3.583685,3.583136,39996.3,0.02,True,16
dachs-local,dachs,mix,csv,32,3,651,0.0,10.418,3.06009,3.587339,3.586882,42522.6,0.02,True,16
dachs-local,dachs,mix,csv,64,1,661,0.0,10.032,6.120466,6.749175,6.748408,44826.0,0.02,True,16
dachs-local,dachs,mix,csv,64,2,668,0.0,10.105,6.122502,6.665096,6.663923,39689.2,0.02,True,16
dachs-local,dachs,mix,csv,64,3,676,0.0,10.29,6.098483,6.732611,6.732148,42188.6,0.025,True,16
dachs-local,dachs,mix,csv,8,1,654,0.0,10.779,0.734627,1.205752,1.205322,43182.0,0.015,True,16
dachs-local,dachs,mix,csv,8,2,651,0.0,10.734,0.777153,1.165879,1.165303,43567.3,0.015,True,16
dachs-local,dachs,mix,csv,8,3,661,0.0,10.944,0.700264,1.170168,1.169559,43013.5,0.015,True,16
dachs-local,dachs,Q01,votable,32,1,960,0.0,15.618,2.041434,2.193816,2.193335,4706.0,0.02,True,16
dachs-local,dachs,Q01,votable,32,2,959,0.0,15.513,2.059034,2.21821,2.217702,4706.0,0.025,True,16
dachs-local,dachs,Q01,votable,32,3,960,0.0,15.566,2.049767,2.204825,2.204346,4706.0,0.02,True,16
dachs-local,dachs,Q01,votable,64,1,960,0.0,15.593,4.091995,4.254311,4.253831,4706.0,0.03,True,16
dachs-local,dachs,Q01,votable,64,2,960,0.0,15.34,4.160534,4.381929,4.381276,4706.0,0.03,True,16
dachs-local,dachs,Q01,votable,64,3,960,0.0,15.447,4.129958,4.388654,4.388197,4706.0,0.025,True,16
dachs-local,dachs,Q01,votable,8,1,1050,0.0,17.427,0.464019,0.559494,0.558961,4706.0,0.02,True,16
dachs-local,dachs,Q01,votable,8,2,1061,0.0,17.599,0.463004,0.545069,0.544563,4706.0,0.015,True,16
dachs-local,dachs,Q01,votable,8,3,1041,0.0,17.269,0.469411,0.57042,0.569993,4706.0,0.015,True,16
dachs-local,dachs,Q02,votable,32,1,641,0.0,10.253,3.074256,3.312386,3.311793,50846.9,0.015,True,16
dachs-local,dachs,Q02,votable,32,2,640,0.0,10.369,3.073383,3.319899,3.319425,50863.4,0.015,True,16
dachs-local,dachs,Q02,votable,32,3,641,0.0,10.308,3.087297,3.343924,3.343471,50892.4,0.025,True,16
dachs-local,dachs,Q02,votable,64,1,670,0.0,10.198,6.072495,6.339499,6.339024,50853.7,0.025,True,16
dachs-local,dachs,Q02,votable,64,2,657,0.0,9.982,6.153299,6.420387,6.419843,50868.8,0.03,True,16
dachs-local,dachs,Q02,votable,64,3,648,0.0,9.869,6.139674,6.398517,6.3979,50889.6,0.025,True,16
dachs-local,dachs,Q02,votable,8,1,667,0.0,11.033,0.721182,0.894809,0.894314,50854.9,0.02,True,16
dachs-local,dachs,Q02,votable,8,2,660,0.0,10.915,0.732427,0.899795,0.899471,50861.5,0.01,True,16
dachs-local,dachs,Q02,votable,8,3,663,0.0,10.95,0.71888,0.928011,0.927528,50901.4,0.015,True,16
dachs-local,dachs,Q03,votable,32,1,694,0.0,11.141,2.858145,3.077586,3.077108,37190.1,0.02,True,16
dachs-local,dachs,Q03,votable,32,2,697,0.0,11.096,2.859647,3.097722,3.09726,36547.7,0.02,True,16
dachs-local,dachs,Q03,votable,32,3,701,0.0,11.183,2.853053,3.060744,3.060273,35794.2,0.02,True,16
dachs-local,dachs,Q03,votable,64,1,704,0.0,11.337,5.676361,5.935594,5.935064,37191.9,0.025,True,16
dachs-local,dachs,Q03,votable,64,2,704,0.0,11.247,5.668941,5.967584,5.966978,36536.6,0.025,True,16
dachs-local,dachs,Q03,votable,64,3,707,0.0,10.91,5.697995,6.004168,6.003674,35944.0,0.025,True,16
dachs-local,dachs,Q03,votable,8,1,706,0.0,11.695,0.684213,0.843668,0.84321,36690.3,0.015,True,16
dachs-local,dachs,Q03,votable,8,2,715,0.0,11.82,0.674573,0.854629,0.854158,36452.1,0.015,True,16
dachs-local,dachs,Q03,votable,8,3,704,0.0,11.654,0.685726,0.851888,0.85143,35805.6,0.015,True,16
