target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
argus-local,,Q01,csv,1,1,9113,75.934,120.011456,0.974247,70.727078,0.589336,0.007761,5737311402.666667,5804060672,
argus-local,,Q01,csv,1,2,9261,77.168,120.010483,0.97375,71.699248,0.597442,0.007742,5819545600.0,5875613696,
argus-local,,Q01,csv,1,3,10079,83.991,120.000875,0.931192,78.208855,0.651736,0.00776,5889991190.26087,5911662592,
argus-local,,Q01,csv,16,1,65929,549.321,120.029934,0.941003,655.936148,5.464771,0.009949,6433401633.391304,6436110336,
argus-local,,Q01,csv,16,2,67077,558.889,120.01836,0.940671,665.277148,5.543128,0.009918,6433015006.608696,6436573184,
argus-local,,Q01,csv,16,3,67146,559.469,120.019075,0.982357,667.030392,5.557703,0.009934,6434228394.666667,6436872192,
argus-local,,Q01,csv,32,1,64714,539.13,120.03405,0.9831,657.003421,5.473475,0.010152,6435521365.333333,6437888000,
argus-local,,Q01,csv,32,2,65119,542.446,120.049959,0.940089,654.691899,5.453495,0.010054,6438393588.869565,6448381952,
argus-local,,Q01,csv,32,3,66102,550.654,120.042672,0.940552,667.401692,5.559704,0.010097,6445700318.608696,6449168384,
argus-local,,Q01,csv,4,1,24632,205.23,120.024281,0.976198,214.027896,1.783205,0.008689,6070047232.0,6245924864,
argus-local,,Q01,csv,4,2,30532,254.419,120.023939,0.976282,262.652529,2.188335,0.008603,6431808682.666667,6435586048,
argus-local,,Q01,csv,4,3,31157,259.614,120.036215,0.976367,266.717027,2.221971,0.00856,6432153600.0,6435217408,
argus-local,,Q01,csv,8,1,49454,412.086,120.019075,0.93857,457.159691,3.809059,0.009244,6432743067.826087,6435381248,
argus-local,,Q01,csv,8,2,49460,412.101,120.027164,0.938593,456.599049,3.804131,0.009232,6432193135.304348,6435217408,
argus-local,,Q01,csv,8,3,49021,408.47,120.015714,0.981249,453.111239,3.775433,0.009243,6432023040.0,6435282944,
argus-local,,Q02,csv,1,1,281,2.341,120.056532,0.9723,119.951147,0.999122,0.426872,6398580053.333333,6401212416,
argus-local,,Q02,csv,1,2,283,2.352,120.311969,0.970467,120.087296,0.998133,0.424337,6411768490.666667,6414532608,
argus-local,,Q02,csv,1,3,280,2.33,120.179032,0.928907,119.946397,0.998064,0.42838,6410891442.086957,6411362304,
argus-local,,Q02,csv,16,1,1840,15.21,121.167552,0.967045,948.741361,7.829995,0.51562,6326488917.333333,6331158528,
argus-local,,Q02,csv,16,2,1844,15.238,121.384941,0.923373,950.081514,7.827013,0.515229,6279309401.043478,6287118336,
argus-local,,Q02,csv,16,3,1848,15.277,121.19328,0.925195,947.883926,7.821258,0.512924,6247117690.434783,6253506560,
argus-local,,Q02,csv,32,1,1854,15.217,122.227394,0.959164,955.829362,7.820091,0.51555,6218976938.666667,6226386944,
argus-local,,Q02,csv,32,2,1853,15.192,121.985656,0.961181,953.171187,7.813797,0.514394,6191215786.666667,6199517184,
argus-local,,Q02,csv,32,3,1856,15.242,122.218196,0.959413,955.876772,7.821068,0.51502,6158547797.333333,6164332544,
argus-local,,Q02,csv,4,1,1097,9.114,120.505424,0.970157,476.395578,3.953312,0.434271,6435723605.333333,6437556224,
argus-local,,Q02,csv,4,2,1018,8.453,120.704346,0.968543,477.119589,3.952795,0.468683,6426484736.0,6430015488,
argus-local,,Q02,csv,4,3,1026,8.527,120.742371,0.968368,477.123227,3.951581,0.465032,6409793365.333333,6413750272,
