target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-local,argus,Q01,csv,1,1,9113,0.0,75.934,0.011428,0.014827,0.01209,1003.0,0.25,True
argus-local,argus,Q01,csv,1,2,9261,0.0,77.168,0.011448,0.014603,0.011946,1003.0,0.255,True
argus-local,argus,Q01,csv,1,3,10079,0.0,83.991,0.011428,0.014788,0.01211,1003.0,0.25,True
argus-local,argus,Q01,csv,16,1,65929,0.0,549.321,0.028211,0.036119,0.028604,1003.0,0.495,True
argus-local,argus,Q01,csv,16,2,67077,0.0,558.889,0.028116,0.036042,0.028459,1003.0,0.5,True
argus-local,argus,Q01,csv,16,3,67146,0.0,559.469,0.027996,0.035595,0.0282,1003.0,0.49,True
argus-local,argus,Q01,csv,32,1,64714,0.0,539.13,0.057742,0.071587,0.058126,1003.0,0.5,True
argus-local,argus,Q01,csv,32,2,65119,1.5e-05,542.446,0.057393,0.069728,0.0569,1003.0,0.515,True
argus-local,argus,Q01,csv,32,3,66102,0.0,550.654,0.057219,0.068928,0.056224,1003.0,0.5,True
argus-local,argus,Q01,csv,4,1,24632,0.0,205.23,0.01498,0.018838,0.014954,1003.0,0.22,True
argus-local,argus,Q01,csv,4,2,30532,0.0,254.419,0.015047,0.01879,0.01496,1003.0,0.225,True
argus-local,argus,Q01,csv,4,3,31157,0.0,259.614,0.014952,0.018679,0.014869,1003.0,0.235,True
argus-local,argus,Q01,csv,8,1,49454,0.0,412.086,0.019064,0.023855,0.018781,1003.0,0.355,True
argus-local,argus,Q01,csv,8,2,49460,0.0,412.101,0.019052,0.023878,0.018794,1003.0,0.35,True
argus-local,argus,Q01,csv,8,3,49021,0.0,408.47,0.019086,0.023801,0.018784,1003.0,0.35,True
argus-local,argus,Q02,csv,1,1,281,0.0,2.341,0.426567,0.447687,0.443746,38412.7,0.015,True
argus-local,argus,Q02,csv,1,2,283,0.0,2.352,0.425205,0.441416,0.437999,38384.8,0.015,True
