target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
argus-local,,Q01,csv,1,1,9974,83.112,120.007049,0.94518,78.813832,0.656743,0.007902,5784670029.913043,5790961664,
argus-local,,Q01,csv,1,2,8911,73.358,121.472739,0.932248,72.281033,0.595039,0.008111,5838316944.695652,5888417792,
argus-local,,Q01,csv,1,3,9981,83.174,120.001587,0.94345,79.191417,0.65992,0.007934,5915446583.652174,5922029568,
argus-local,,Q01,csv,16,1,66072,550.514,120.022508,0.947915,662.434876,5.519255,0.010026,6364968158.608696,6367019008,
argus-local,,Q01,csv,16,2,65624,546.784,120.028354,0.950423,658.896209,5.489505,0.01004,6364964953.043478,6367158272,
argus-local,,Q01,csv,16,3,66233,551.817,120.037355,0.995699,665.948754,5.547846,0.010055,6364872192.0,6367137792,
argus-local,,Q01,csv,32,1,66202,551.493,120.041423,0.953964,674.261774,5.616909,0.010185,6370525896.347826,6375399424,
argus-local,,Q01,csv,32,2,66649,555.249,120.035906,0.957887,679.65223,5.662074,0.010197,6371408851.478261,6374797312,
argus-local,,Q01,csv,32,3,66004,549.831,120.045335,0.96074,673.104686,5.607087,0.010198,6371932070.956522,6374764544,
argus-local,,Q01,csv,4,1,26505,220.854,120.019911,0.945101,227.965247,1.899395,0.008601,6042162754.782609,6158598144,
argus-local,,Q01,csv,4,2,26388,219.879,120.020272,0.944534,229.560244,1.912679,0.008699,6264643584.0,6364700672,
argus-local,,Q01,csv,4,3,30265,252.192,120.014921,0.944007,262.778601,2.189549,0.008683,6362965570.782609,6364676096,
argus-local,,Q01,csv,8,1,48252,402.063,120.017234,0.990153,452.088396,3.766862,0.009369,6359604565.333333,6367174656,
argus-local,,Q01,csv,8,2,47482,395.629,120.021056,0.947315,444.832533,3.706287,0.009368,6365517022.608696,6367129600,
argus-local,,Q01,csv,8,3,49024,408.495,120.018275,0.988938,458.598905,3.821076,0.009355,6364697770.666667,6367358976,
argus-local,,Q02,csv,1,1,289,2.406,120.092987,0.943979,119.905622,0.99844,0.414898,6324498966.26087,6326218752,
argus-local,,Q02,csv,1,2,280,2.328,120.287903,0.941034,114.740268,0.95388,0.409787,6330223393.391304,6332588032,
argus-local,,Q02,csv,1,3,284,2.366,120.03296,0.987885,119.497685,0.995541,0.420766,6330955093.333333,6333882368,
argus-local,,Q02,csv,16,1,1891,15.63,121.04225,0.935121,958.978374,7.922675,0.507128,6234142809.043478,6239506432,
argus-local,,Q02,csv,16,2,1884,15.597,121.469803,0.972985,961.835253,7.918308,0.510528,6200146432.0,6204588032,
argus-local,,Q02,csv,16,3,1887,15.617,121.001627,0.93601,958.516503,7.921517,0.507958,6165873352.347826,6170497024,
argus-local,,Q02,csv,32,1,1904,15.627,122.113379,0.929511,967.499712,7.922962,0.508141,6138953015.652174,6145679360,
argus-local,,Q02,csv,32,2,1909,15.676,121.930594,0.931001,966.275233,7.924797,0.506168,6091341824.0,6096080896,
argus-local,,Q02,csv,32,3,1909,15.666,121.986475,0.931619,966.778843,7.925295,0.506432,6060545780.869565,6067781632,
argus-local,,Q02,csv,4,1,1086,9.02,120.641826,0.981049,477.612134,3.958927,0.43979,6355129002.666667,6356942848,
argus-local,,Q02,csv,4,2,1115,9.273,120.635148,0.938198,477.512652,3.958321,0.428262,6338895693.913043,6342950912,
argus-local,,Q02,csv,4,3,1057,8.782,120.502995,0.937132,477.180946,3.959909,0.451448,6328094541.913043,6330617856,
argus-local,,Q02,csv,8,1,1860,15.438,120.828388,0.980669,932.497137,7.717534,0.501343,6317335381.333333,6325919744,
argus-local,,Q02,csv,8,2,1859,15.451,120.48026,0.937643,929.779749,7.717279,0.50015,6303845865.73913,6311718912,
argus-local,,Q02,csv,8,3,1855,15.402,120.756019,0.978858,929.538347,7.697656,0.501099,6255558997.333333,6263640064,
argus-local,,Q03,csv,1,1,4505,37.54,120.005847,0.942612,101.541425,0.846137,0.02254,6094662433.391304,6097354752,
argus-local,,Q03,csv,1,2,4509,37.568,120.020694,0.942955,101.328279,0.844257,0.022472,6049826548.869565,6056411136,
argus-local,,Q03,csv,1,3,4495,37.444,120.045941,0.94055,101.475959,0.845309,0.022575,5972796816.695652,5978779648,
argus-local,,Q03,csv,16,1,29176,242.898,120.12758,0.947834,811.04289,6.751513,0.027798,6368587063.652174,6371246080,
argus-local,,Q03,csv,16,2,28748,239.342,120.134375,0.949233,791.889377,6.591697,0.027546,6368787055.304348,6373273600,
argus-local,,Q03,csv,16,3,29526,245.842,120.116637,0.951481,819.393731,6.821651,0.027752,6368452786.086957,6371979264,
argus-local,,Q03,csv,32,1,29235,243.431,120.219714,0.952624,824.156129,6.855416,0.028191,6370375056.695652,6374617088,
argus-local,,Q03,csv,32,2,29662,246.908,120.199888,0.953862,825.586612,6.868447,0.027833,6369376701.217391,6373462016,
