target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-local,argus,Q01,csv,1,1,9974,0.0,83.112,0.011662,0.014749,0.012041,1003.0,0.255,True
argus-local,argus,Q01,csv,1,2,8911,0.0,73.358,0.011742,0.014799,0.012172,1003.0,0.255,True
argus-local,argus,Q01,csv,1,3,9981,0.0,83.174,0.011677,0.014834,0.01214,1003.0,0.265,True
argus-local,argus,Q01,csv,16,1,66072,0.0,550.514,0.027977,0.035124,0.027831,1003.0,0.53,True
argus-local,argus,Q01,csv,16,2,65624,0.0,546.784,0.028365,0.036934,0.029085,1003.0,0.505,True
argus-local,argus,Q01,csv,16,3,66233,0.0,551.817,0.028232,0.035853,0.028384,1003.0,0.525,True
argus-local,argus,Q01,csv,32,1,66202,0.0,551.493,0.056804,0.067121,0.05484,1003.0,0.54,True
argus-local,argus,Q01,csv,32,2,66649,0.0,555.249,0.056805,0.067109,0.054753,1003.0,0.549,True
argus-local,argus,Q01,csv,32,3,66004,0.0,549.831,0.057353,0.06834,0.055965,1003.0,0.555,True
argus-local,argus,Q01,csv,4,1,26505,0.0,220.854,0.015177,0.018794,0.01498,1003.0,0.225,True
argus-local,argus,Q01,csv,4,2,26388,0.0,219.879,0.015249,0.018952,0.015052,1003.0,0.25,True
argus-local,argus,Q01,csv,4,3,30265,0.0,252.192,0.01517,0.018797,0.014956,1003.0,0.245,True
argus-local,argus,Q01,csv,8,1,48252,2.1e-05,402.063,0.019274,0.023837,0.018861,1003.0,0.365,True
argus-local,argus,Q01,csv,8,2,47482,0.0,395.629,0.019332,0.024193,0.019071,1003.0,0.36,True
argus-local,argus,Q01,csv,8,3,49024,0.0,408.495,0.019272,0.023825,0.018825,1003.0,0.37,True
argus-local,argus,Q02,csv,1,1,289,0.0,2.406,0.414739,0.430679,0.42629,38411.8,0.015,True
argus-local,argus,Q02,csv,1,2,280,0.0,2.328,0.410828,0.43694,0.432021,38383.5,0.015,True
argus-local,argus,Q02,csv,1,3,284,0.0,2.366,0.420789,0.436523,0.432662,38403.2,0.015,True
argus-local,argus,Q02,csv,16,1,1891,0.0,15.63,1.020991,1.084204,1.077879,38408.9,0.025,True
argus-local,argus,Q02,csv,16,2,1884,0.0,15.597,1.023702,1.082198,1.075941,38419.4,0.03,True
argus-local,argus,Q02,csv,16,3,1887,0.0,15.617,1.021174,1.086297,1.07792,38407.8,0.025,True
argus-local,argus,Q02,csv,32,1,1904,0.0,15.627,2.045394,2.129654,2.122348,38407.4,0.035,True
argus-local,argus,Q02,csv,32,2,1909,0.0,15.676,2.039091,2.119753,2.11229,38418.1,0.045,True
argus-local,argus,Q02,csv,32,3,1909,0.0,15.666,2.039237,2.117287,2.109381,38407.6,0.035,True
argus-local,argus,Q02,csv,4,1,1086,0.0,9.02,0.425634,0.51147,0.50724,38415.4,0.02,True
argus-local,argus,Q02,csv,4,2,1115,0.0,9.273,0.421716,0.507443,0.504032,38412.6,0.02,True
argus-local,argus,Q02,csv,4,3,1057,0.0,8.782,0.433063,0.509947,0.506084,38410.8,0.015,True
argus-local,argus,Q02,csv,8,1,1860,0.0,15.438,0.514908,0.545036,0.539545,38409.1,0.025,True
argus-local,argus,Q02,csv,8,2,1859,0.0,15.451,0.514265,0.545738,0.540574,38420.9,0.03,True
argus-local,argus,Q02,csv,8,3,1855,0.0,15.402,0.516637,0.54489,0.539043,38407.3,0.03,True
argus-local,argus,Q03,csv,1,1,4505,0.0,37.54,0.016665,0.085782,0.082739,25429.8,0.155,True
argus-local,argus,Q03,csv,1,2,4509,0.0,37.568,0.016585,0.086328,0.083273,25481.9,0.15,True
argus-local,argus,Q03,csv,1,3,4495,0.0,37.444,0.016581,0.086593,0.083388,25433.2,0.15,True
argus-local,argus,Q03,csv,16,1,29176,0.0,242.898,0.047455,0.176447,0.167643,25503.4,0.27,True
argus-local,argus,Q03,csv,16,2,28748,0.0,239.342,0.047281,0.17524,0.165959,25575.8,0.27,True
argus-local,argus,Q03,csv,16,3,29526,0.0,245.842,0.047371,0.176246,0.168393,25529.7,0.275,True
argus-local,argus,Q03,csv,32,1,29235,0.0,243.431,0.115658,0.248037,0.23762,25502.6,0.28,True
argus-local,argus,Q03,csv,32,2,29662,0.0,246.908,0.11363,0.244919,0.235914,25561.6,0.295,True
argus-local,argus,Q03,csv,32,3,29704,0.0,247.256,0.11338,0.244908,0.236121,25534.1,0.282,True
argus-local,argus,Q03,csv,4,1,15171,0.0,126.35,0.020561,0.100077,0.096343,25503.0,0.155,True
argus-local,argus,Q03,csv,4,2,13863,0.0,115.51,0.020563,0.100163,0.096355,25569.8,0.155,True
argus-local,argus,Q03,csv,4,3,15215,0.0,126.703,0.020587,0.0999,0.0963,25544.1,0.165,True
argus-local,argus,Q03,csv,8,1,22678,0.0,188.863,0.02764,0.12003,0.113976,25525.3,0.21,True
argus-local,argus,Q03,csv,8,2,21895,0.0,182.292,0.027587,0.121002,0.11465,25561.8,0.225,True
argus-local,argus,Q03,csv,8,3,23457,4.3e-05,195.322,0.027541,0.12038,0.114792,25479.3,0.22,True
argus-local,argus,Q04,csv,1,1,5548,0.0,46.227,0.021377,0.02513,0.020513,59987.4,0.195,True
argus-local,argus,Q04,csv,1,2,5531,0.0,46.083,0.02147,0.025278,0.020637,59985.7,0.195,True
argus-local,argus,Q04,csv,1,3,5516,0.0,45.966,0.021507,0.025222,0.020569,59967.2,0.19,True
argus-local,argus,Q04,csv,16,1,35189,0.0,293.137,0.053884,0.069384,0.05569,59977.1,0.345,True
argus-local,argus,Q04,csv,16,2,35536,0.0,296.027,0.053306,0.068071,0.054599,59976.5,0.376,True
argus-local,argus,Q04,csv,16,3,34737,0.0,289.393,0.053645,0.068966,0.055161,59971.8,0.36,True
argus-local,argus,Q04,csv,32,1,35216,0.0,293.256,0.108526,0.126719,0.112797,59976.9,0.36,True
argus-local,argus,Q04,csv,32,2,35124,0.0,292.511,0.108678,0.127124,0.113073,59976.6,0.37,True
argus-local,argus,Q04,csv,32,3,35512,0.0,295.75,0.107458,0.125803,0.112007,59972.0,0.37,True
argus-local,argus,Q04,csv,4,1,17764,0.0,148.014,0.026496,0.032225,0.026095,59974.2,0.175,True
argus-local,argus,Q04,csv,4,2,17745,0.0,147.86,0.026574,0.032296,0.026102,59979.1,0.185,True
argus-local,argus,Q04,csv,4,3,17596,0.0,146.613,0.02661,0.032398,0.02619,59976.7,0.185,True
argus-local,argus,Q04,csv,8,1,27608,0.0,230.015,0.034264,0.042546,0.033974,59979.1,0.28,True
argus-local,argus,Q04,csv,8,2,27206,0.0,226.65,0.034472,0.043297,0.034382,59976.3,0.275,True
argus-local,argus,Q04,csv,8,3,26916,0.0,224.249,0.034363,0.042797,0.034108,59972.5,0.27,True
argus-local,argus,Q05,csv,1,1,278,0.0,2.314,0.431685,0.447805,0.444639,3548.0,0.015,True
argus-local,argus,Q05,csv,1,2,277,0.0,2.306,0.432967,0.44913,0.446228,3910.5,0.015,True
argus-local,argus,Q05,csv,1,3,279,0.0,2.324,0.429694,0.447622,0.444424,3841.0,0.015,True
argus-local,argus,Q05,csv,16,1,1743,0.0,14.402,1.108686,1.190595,1.1843,3826.9,0.03,True
argus-local,argus,Q05,csv,16,2,1752,0.0,14.484,1.104041,1.183131,1.177297,4017.7,0.025,True
argus-local,argus,Q05,csv,16,3,1747,0.0,14.441,1.10906,1.2091,1.205617,3914.2,0.03,True
argus-local,argus,Q05,csv,32,1,1763,0.0,14.45,2.215782,2.297988,2.29365,3837.1,0.035,True
argus-local,argus,Q05,csv,32,2,1749,0.0,14.34,2.230698,2.319358,2.315382,4033.6,0.03,True
argus-local,argus,Q05,csv,32,3,1761,0.0,14.448,2.21694,2.302185,2.295819,3906.8,0.03,True
argus-local,argus,Q05,csv,4,1,983,0.0,8.174,0.454655,0.557689,0.554802,3704.2,0.04,True
argus-local,argus,Q05,csv,4,2,986,0.0,8.192,0.456383,0.556903,0.553976,3858.4,0.015,True
argus-local,argus,Q05,csv,4,3,928,0.0,7.702,0.526527,0.562035,0.558982,3877.3,0.02,True
argus-local,argus,Q05,csv,8,1,1708,0.0,14.183,0.563104,0.587991,0.584238,3832.9,0.03,True
argus-local,argus,Q05,csv,8,2,1709,0.0,14.181,0.562984,0.587451,0.583046,3978.9,0.025,True
argus-local,argus,Q05,csv,8,3,1695,0.0,14.066,0.567578,0.593458,0.589806,3894.4,0.025,True
argus-local,argus,Q06,csv,1,1,277,0.0,2.304,0.437974,0.455048,0.449845,72032.1,0.015,True
argus-local,argus,Q06,csv,1,2,279,0.0,2.323,0.437694,0.45381,0.448041,72428.3,0.02,True
argus-local,argus,Q06,csv,1,3,279,0.0,2.323,0.437192,0.452649,0.448039,66763.9,0.015,True
argus-local,argus,Q06,csv,16,1,1749,0.0,14.461,1.119788,1.204743,1.198345,71976.5,0.03,True
argus-local,argus,Q06,csv,16,2,1747,0.0,14.435,1.117209,1.193287,1.185455,72399.9,0.03,True
argus-local,argus,Q06,csv,16,3,1756,0.0,14.542,1.111149,1.186875,1.179395,70489.7,0.045,True
argus-local,argus,Q06,csv,32,1,1717,0.0,14.062,2.22709,2.368574,2.329873,71997.5,0.045,True
argus-local,argus,Q06,csv,32,2,1765,0.0,14.476,2.224239,2.320854,2.3121,72130.4,0.05,True
argus-local,argus,Q06,csv,32,3,1765,0.0,14.456,2.224783,2.330546,2.325032,70402.0,0.035,True
argus-local,argus,Q06,csv,4,1,993,0.0,8.247,0.452527,0.563493,0.557465,72762.1,0.02,True
argus-local,argus,Q06,csv,4,2,934,0.0,7.754,0.545868,0.562352,0.556797,71345.1,0.02,True
argus-local,argus,Q06,csv,4,3,986,0.0,8.182,0.462326,0.562236,0.557332,69750.4,0.02,True
