target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
egernia-local,24b,Q01,csv,32,1,43839,730.175,60.048964,0.943311,335.275706,5.583372,0.007648,2045190144.0,2056114176,4
egernia-local,24b,Q01,csv,32,2,43064,717.368,60.037823,0.943263,337.78507,5.626204,0.007844,2044580181.333333,2045243392,4
egernia-local,24b,Q01,csv,32,3,43238,720.186,60.041961,0.943347,338.195103,5.632646,0.007822,2044681216.0,2045898752,4
egernia-local,24b,Q01,csv,64,1,41213,686.028,60.087636,0.856952,336.228128,5.595629,0.008158,2048185437.090909,2058203136,4
egernia-local,24b,Q01,csv,64,2,41177,685.563,60.062887,0.942425,335.80594,5.590906,0.008155,2047917056.0,2054807552,4
egernia-local,24b,Q01,csv,64,3,41176,685.256,60.10216,0.943042,335.947925,5.589615,0.008159,2047251797.333333,2047967232,4
egernia-local,24b,Q01,csv,8,1,37134,618.738,60.04727,0.94136,230.435122,3.837562,0.006206,2042170026.666667,2042781696,4
egernia-local,24b,Q01,csv,8,2,46155,769.166,60.045357,0.856583,274.091824,4.564746,0.005939,2042076811.636364,2043039744,4
egernia-local,24b,Q01,csv,8,3,44284,737.91,60.046569,0.942408,259.85673,4.327587,0.005868,2042642090.666667,2044223488,4
egernia-local,24b,Q03,csv,32,1,38220,635.849,60.110131,0.856292,387.38634,6.44461,0.010136,1962527278.545455,1964998656,4
egernia-local,24b,Q03,csv,32,2,38286,637.51,60.078259,0.942121,386.305119,6.430032,0.01009,1917854037.333333,1931911168,4
egernia-local,24b,Q03,csv,32,3,37964,632.405,60.039678,0.942785,387.345901,6.451499,0.010203,1849076394.666667,1868783616,4
egernia-local,24b,Q03,csv,64,1,36324,604.577,60.089269,0.856663,386.681295,6.435114,0.010645,1825151906.909091,1831735296,4
egernia-local,24b,Q03,csv,64,2,36248,603.399,60.072893,0.942742,386.273057,6.430072,0.010656,1818581333.333333,1819467776,4
egernia-local,24b,Q03,csv,64,3,36347,604.986,60.116495,0.942061,386.473507,6.428743,0.010633,1816633344.0,1820418048,4
egernia-local,24b,Q03,csv,8,1,36815,613.453,60.023851,0.942441,302.671103,5.042514,0.008221,2042919594.666667,2044633088,4
egernia-local,24b,Q03,csv,8,2,34501,574.941,60.078169,0.941006,280.44634,4.668024,0.008129,2027631274.666667,2054176768,4
egernia-local,24b,Q03,csv,8,3,32129,535.387,60.074476,0.940703,268.960229,4.477113,0.008371,1984165205.333333,1994698752,4
egernia-local,24b,Q04,csv,32,1,33762,562.276,60.046966,0.942702,489.082694,8.145003,0.014486,1806530218.666667,1807724544,4
egernia-local,24b,Q04,csv,32,2,33689,561.132,60.049971,0.943442,489.923707,8.1586,0.014543,1806943573.333333,1807917056,4
egernia-local,24b,Q04,csv,32,3,33517,557.428,60.131608,0.941289,490.97228,8.164962,0.014648,1806813184.0,1807872000,4
egernia-local,24b,Q04,csv,64,1,32314,537.541,60.131909,0.85589,486.181947,8.085257,0.015046,1809584500.363636,1811021824,4
egernia-local,24b,Q04,csv,64,2,32168,535.022,60.135355,0.941392,487.271218,8.102907,0.015148,1809987242.666667,1813118976,4
egernia-local,24b,Q04,csv,64,3,32239,536.563,60.129536,0.855663,487.000397,8.099188,0.015106,1809901754.181818,1811361792,4
egernia-local,24b,Q04,csv,8,1,26043,433.939,60.065835,0.854699,324.422751,5.401119,0.012457,1803943936.0,1805336576,4
egernia-local,24b,Q04,csv,8,2,26143,435.607,60.078399,0.855172,326.234582,5.430148,0.012479,1803829248.0,1805340672,4
egernia-local,24b,Q04,csv,8,3,26664,444.277,60.033954,0.855223,334.875383,5.5781,0.012559,1803882868.363636,1804374016,4
egernia-local,24b,Q10,csv,32,1,22902,381.234,60.103809,0.855795,444.290445,7.392051,0.0194,1812573463.272727,1814548480,4
egernia-local,24b,Q10,csv,32,2,22859,380.502,60.081119,0.941801,446.472296,7.431158,0.019532,1813846016.0,1815363584,4
egernia-local,24b,Q10,csv,32,3,22756,378.912,60.090488,0.942006,446.643163,7.432843,0.019627,1814553258.666667,1816621056,4
egernia-local,24b,Q10,csv,64,1,22296,370.857,60.122269,0.941597,445.44129,7.408923,0.019979,1818551637.333333,1820782592,4
egernia-local,24b,Q10,csv,64,2,22249,370.07,60.120824,0.941339,446.472513,7.426254,0.020067,1820914688.0,1831583744,4
egernia-local,24b,Q10,csv,64,3,22301,370.611,60.195388,0.854662,446.697871,7.420799,0.02003,1821505349.818182,1824542720,4
egernia-local,24b,Q10,csv,8,1,21129,351.965,60.101104,0.940471,371.962698,6.188949,0.017604,1806304597.333333,1807425536,4
egernia-local,24b,Q10,csv,8,2,19909,331.717,60.055086,0.940663,349.057337,5.812286,0.017533,1806356821.333333,1808748544,4
egernia-local,24b,Q10,csv,8,3,21123,351.924,60.064815,0.941076,371.799857,6.189978,0.017602,1806634325.333333,1808142336,4
egernia-local,24b,Q11,csv,32,1,3870,64.134,60.345956,0.936588,426.521265,7.067935,0.110212,1923059712.0,1940230144,4
egernia-local,24b,Q11,csv,32,2,4008,66.328,60.773764,0.929717,432.974586,7.124367,0.108028,1928105301.333333,1946718208,4
egernia-local,24b,Q11,csv,32,3,3916,64.347,60.94102,0.926743,432.103321,7.090517,0.110343,1929253205.333333,1944973312,4
egernia-local,24b,Q11,csv,64,1,4048,66.944,60.632792,0.847936,432.302495,7.129846,0.106794,2020432430.545455,2047369216,4
egernia-local,24b,Q11,csv,64,2,3827,63.267,60.576874,0.847664,405.523942,6.694369,0.105964,2025343906.909091,2059038720,4
egernia-local,24b,Q11,csv,64,3,3932,63.317,62.926411,0.897589,466.26806,7.409735,0.118583,2039473152.0,2073485312,4
egernia-local,24b,Q11,csv,8,1,3383,56.315,60.132479,0.938284,340.407807,5.660964,0.100623,1843165525.333333,1851256832,4
egernia-local,24b,Q11,csv,8,2,3257,54.199,60.186763,0.936891,324.817969,5.396834,0.099729,1845636437.333333,1861705728,4
egernia-local,24b,Q11,csv,8,3,3639,60.503,60.321115,0.93585,367.186778,6.087201,0.100903,1847102122.666667,1857032192,4
egernia-local,24b,Q13,csv,32,1,3246,53.715,60.503551,0.948629,1449.634106,23.959488,0.446591,2076029269.333333,2084564992,4
egernia-local,24b,Q13,csv,32,2,3252,53.887,60.411023,0.949565,1447.707915,23.964301,0.445175,2077736277.333333,2086707200,4
egernia-local,24b,Q13,csv,32,3,3244,53.656,60.481071,0.861572,1448.804465,23.954676,0.446611,2067002461.090909,2077040640,4
egernia-local,24b,Q13,csv,64,1,3269,53.572,61.238901,0.93699,1467.381084,23.961584,0.448878,2074979328.0,2091397120,4
egernia-local,24b,Q13,csv,64,2,3261,53.494,61.218326,0.938376,1467.172209,23.966226,0.449915,2087915520.0,2098745344,4
egernia-local,24b,Q13,csv,64,3,3266,53.732,61.756266,0.930269,1480.019677,23.965498,0.45316,2086276437.333333,2100002816,4
egernia-local,24b,Q13,csv,8,1,2892,48.112,60.200709,0.9408,1240.312654,20.602958,0.428877,1975276885.333333,1981841408,4
egernia-local,24b,Q13,csv,8,2,2897,48.171,60.231087,0.940236,1245.924086,20.685731,0.430074,1974879573.333333,1977774080,4
egernia-local,24b,Q13,csv,8,3,2907,48.335,60.28108,0.939768,1245.623153,20.663584,0.428491,1986971648.0,2000203776,4
egernia-local,24b,mix,csv,32,1,36502,607.992,60.048544,0.857402,398.239561,6.63196,0.01091,2041028235.636364,2042208256,4
egernia-local,24b,mix,csv,32,2,36499,607.885,60.057515,0.943036,400.36917,6.666429,0.010969,2041986730.666667,2053271552,4
egernia-local,24b,mix,csv,32,3,36159,602.063,60.068634,0.942105,382.724103,6.371447,0.010584,2041432746.666667,2042134528,4
egernia-local,24b,mix,csv,64,1,34768,578.534,60.103832,0.941833,397.78942,6.61837,0.011441,2044444330.666667,2045394944,4
egernia-local,24b,mix,csv,64,2,34982,582.124,60.162414,0.940726,398.936812,6.630997,0.011404,2046576981.333333,2052968448,4
egernia-local,24b,mix,csv,64,3,34852,579.987,60.103874,0.856537,397.329099,6.610707,0.0114,2045715921.454545,2047463424,4
egernia-local,24b,mix,csv,8,1,32287,537.973,60.028885,0.941876,290.492887,4.839218,0.008997,1976192341.333333,2012827648,4
egernia-local,24b,mix,csv,8,2,34649,577.359,60.032882,0.941625,313.810928,5.227317,0.009057,2026524672.0,2032357376,4
egernia-local,24b,mix,csv,8,3,21753,362.483,60.044894,0.854925,205.21792,3.417741,0.009434,2037260660.363636,2038206464,4
egernia-local,24b,Q01,votable,32,1,42794,712.715,60.064011,0.857939,340.345377,5.666378,0.007953,1787794897.454545,1789222912,4
egernia-local,24b,Q01,votable,32,2,42791,712.747,60.071082,0.942317,340.460705,5.667631,0.007956,1786144085.333333,1788383232,4
egernia-local,24b,Q01,votable,32,3,42677,710.905,60.053039,0.943248,339.639454,5.655658,0.007958,1785788416.0,1786982400,4
egernia-local,24b,Q01,votable,64,1,40983,682.244,60.071065,0.942821,338.082393,5.628041,0.008249,1788129280.0,1788866560,4
egernia-local,24b,Q01,votable,64,2,40997,682.505,60.100551,0.856119,338.015279,5.624163,0.008245,1788439086.545455,1789149184,4
egernia-local,24b,Q01,votable,64,3,41040,682.77,60.163264,0.941782,338.37896,5.624345,0.008245,1789739349.333333,1790222336,4
egernia-local,24b,Q01,votable,8,1,40363,672.492,60.064474,0.855326,235.337404,3.91808,0.005831,1785519010.909091,1785970688,4
egernia-local,24b,Q01,votable,8,2,36549,609.024,60.028317,0.941669,231.722566,3.860221,0.00634,1786094250.666667,1789624320,4
egernia-local,24b,Q01,votable,8,3,37076,617.816,60.050786,0.941678,231.160711,3.84942,0.006235,1786772138.666667,1797648384,4
egernia-local,24b,Q03,votable,32,1,37519,624.739,60.070779,0.942731,394.833276,6.572801,0.010524,1789980672.0,1791344640,4
egernia-local,24b,Q03,votable,32,2,37320,621.515,60.075464,0.942181,394.735895,6.570667,0.010577,1790993408.0,1792040960,4
egernia-local,24b,Q03,votable,32,3,37388,622.484,60.064598,0.856962,394.122575,6.561645,0.010541,1790866897.454545,1791516672,4
egernia-local,24b,Q03,votable,64,1,35495,590.692,60.108794,0.940967,394.751987,6.567292,0.011121,1795423232.0,1796313088,4
