target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
egernia-local,egernia,Q01,csv,32,1,43839,0.0,730.175,0.032194,0.096548,0.092083,1835.0,0.385,True,24b
egernia-local,egernia,Q01,csv,32,2,43064,0.0,717.368,0.044332,0.062042,0.059058,1835.0,0.29,True,24b
egernia-local,egernia,Q01,csv,32,3,43238,0.0,720.186,0.045148,0.066039,0.06273,1835.0,0.305,True,24b
egernia-local,egernia,Q01,csv,64,1,41213,0.0,686.028,0.094159,0.130942,0.126269,1835.0,0.29,True,24b
egernia-local,egernia,Q01,csv,64,2,41177,0.0,685.563,0.091702,0.125475,0.120706,1835.0,0.255,True,24b
egernia-local,egernia,Q01,csv,64,3,41176,0.0,685.256,0.080453,0.156904,0.152024,1835.0,0.29,True,24b
egernia-local,egernia,Q01,csv,8,1,37134,0.0,618.738,0.010393,0.022178,0.021062,1835.0,0.275,True,24b
egernia-local,egernia,Q01,csv,8,2,46155,0.0,769.166,0.009903,0.016144,0.015181,1835.0,0.355,True,24b
egernia-local,egernia,Q01,csv,8,3,44284,0.0,737.91,0.012072,0.016812,0.015838,1835.0,0.385,True,24b
egernia-local,egernia,Q03,csv,32,1,38220,0.0,635.849,0.045982,0.087672,0.083491,25665.3,0.28,True,24b
egernia-local,egernia,Q03,csv,32,2,38286,0.0,637.51,0.053081,0.077658,0.073979,25595.8,0.3,True,24b
egernia-local,egernia,Q03,csv,32,3,37964,0.0,632.405,0.04924,0.073465,0.06993,25661.8,0.275,True,24b
egernia-local,egernia,Q03,csv,64,1,36324,0.0,604.577,0.100768,0.156383,0.151442,25664.4,0.255,True,24b
egernia-local,egernia,Q03,csv,64,2,36248,0.0,603.399,0.10428,0.135697,0.13057,25662.8,0.235,True,24b
egernia-local,egernia,Q03,csv,64,3,36347,0.0,604.986,0.10361,0.150033,0.144711,25637.8,0.28,True,24b
egernia-local,egernia,Q03,csv,8,1,36815,0.0,613.453,0.012423,0.01937,0.018272,25657.5,0.325,True,24b
egernia-local,egernia,Q03,csv,8,2,34501,0.0,574.941,0.011389,0.025467,0.024166,25577.8,0.355,True,24b
egernia-local,egernia,Q03,csv,8,3,32129,0.0,535.387,0.014827,0.020165,0.019048,25645.6,0.285,True,24b
egernia-local,egernia,Q04,csv,32,1,33762,0.0,562.276,0.052002,0.091128,0.086843,59775.4,0.255,True,24b
egernia-local,egernia,Q04,csv,32,2,33689,0.0,561.132,0.055045,0.083782,0.080011,59779.8,0.265,True,24b
egernia-local,egernia,Q04,csv,32,3,33517,0.0,557.428,0.056184,0.076742,0.073128,59781.1,0.225,True,24b
egernia-local,egernia,Q04,csv,64,1,32314,0.0,537.541,0.128447,0.184514,0.178981,59777.4,0.255,True,24b
egernia-local,egernia,Q04,csv,64,2,32168,0.0,535.022,0.114233,0.176367,0.171147,59781.9,0.23,True,24b
egernia-local,egernia,Q04,csv,64,3,32239,0.0,536.563,0.114817,0.16735,0.161923,59780.0,0.22,True,24b
egernia-local,egernia,Q04,csv,8,1,26043,0.0,433.939,0.016217,0.029212,0.02768,59775.2,0.285,True,24b
egernia-local,egernia,Q04,csv,8,2,26143,0.0,435.607,0.016161,0.029203,0.027693,59780.0,0.255,True,24b
egernia-local,egernia,Q04,csv,8,3,26664,0.0,444.277,0.018296,0.02468,0.023483,59781.7,0.245,True,24b
egernia-local,egernia,Q10,csv,32,1,22902,0.0,381.234,0.083016,0.156463,0.126935,298273.8,0.325,True,24b
egernia-local,egernia,Q10,csv,32,2,22859,0.0,380.502,0.087716,0.131885,0.107939,298285.9,0.24,True,24b
egernia-local,egernia,Q10,csv,32,3,22756,0.0,378.912,0.086518,0.122818,0.10106,298310.1,0.28,True,24b
egernia-local,egernia,Q10,csv,64,1,22296,0.0,370.857,0.17132,0.223192,0.185332,298266.6,0.22,True,24b
egernia-local,egernia,Q10,csv,64,2,22249,0.0,370.07,0.169848,0.238117,0.200395,298300.3,0.245,True,24b
egernia-local,egernia,Q10,csv,64,3,22301,0.0,370.611,0.162897,0.273748,0.235793,298327.0,0.28,True,24b
egernia-local,egernia,Q10,csv,8,1,21129,0.0,351.965,0.021471,0.033213,0.02886,298254.8,0.25,True,24b
egernia-local,egernia,Q10,csv,8,2,19909,0.0,331.717,0.025564,0.035178,0.030588,298264.7,0.27,True,24b
egernia-local,egernia,Q10,csv,8,3,21123,0.0,351.924,0.021501,0.033165,0.028751,298301.6,0.3,True,24b
egernia-local,egernia,Q11,csv,32,1,3870,0.0,64.134,0.440043,0.980729,0.90212,2994445.4,0.215,True,24b
egernia-local,egernia,Q11,csv,32,2,4008,0.0,66.328,0.476804,0.914374,0.835312,2993644.9,0.25,True,24b
egernia-local,egernia,Q11,csv,32,3,3916,0.0,64.347,0.402899,1.008495,0.907755,2992808.9,0.205,True,24b
egernia-local,egernia,Q11,csv,64,1,4048,0.0,66.944,1.001199,1.980354,1.834072,2994615.9,0.295,True,24b
egernia-local,egernia,Q11,csv,64,2,3827,0.0,63.267,0.936471,2.035814,1.926571,2993714.1,0.235,True,24b
egernia-local,egernia,Q11,csv,64,3,3932,0.0,63.317,0.85938,2.386894,2.109415,2992636.8,0.225,True,24b
egernia-local,egernia,Q11,csv,8,1,3383,0.0,56.315,0.146232,0.246163,0.203997,2994004.8,0.22,True,24b
egernia-local,egernia,Q11,csv,8,2,3257,0.0,54.199,0.148053,0.252606,0.214729,2992855.7,0.165,True,24b
egernia-local,egernia,Q11,csv,8,3,3639,0.0,60.503,0.120906,0.211507,0.173691,2993291.4,0.23,True,24b
egernia-local,egernia,Q13,csv,32,1,3246,0.0,53.715,0.583413,0.85705,0.856312,2264.2,0.035,True,24b
egernia-local,egernia,Q13,csv,32,2,3252,0.0,53.887,0.589,0.818014,0.816954,2264.3,0.03,True,24b
