target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
argus-final,,Q01,csv,1,1,5230,87.157,60.006779,0.945133,39.10681,0.651707,0.007477,3708172288.0,3728392192,
argus-final,,Q01,csv,1,2,5185,86.408,60.005626,0.859339,37.218814,0.620255,0.007178,3759112936.727273,3790102528,
argus-final,,Q01,csv,1,3,5678,94.629,60.002598,0.943049,41.409686,0.690132,0.007293,3792495957.333333,3795988480,
argus-final,,Q01,csv,32,1,34732,578.572,60.030901,0.956703,348.597703,5.806971,0.010037,4543115605.333333,4566142976,
argus-final,,Q01,csv,32,2,34185,556.484,61.430248,0.853429,359.252505,5.848137,0.010509,4605874920.727273,4626219008,
argus-final,,Q01,csv,32,3,33850,563.824,60.037901,0.870093,344.859599,5.744032,0.010188,4729860840.727273,4751220736,
argus-final,,Q01,csv,4,1,14810,240.861,61.489083,0.92412,124.093421,2.018137,0.008379,3877898240.0,3929714688,
argus-final,,Q01,csv,4,2,13314,221.876,60.018653,0.945628,110.182641,1.835807,0.008276,3961761792.0,4025286656,
argus-final,,Q01,csv,4,3,16173,269.492,60.015202,0.945872,137.273952,2.28732,0.008488,4103512064.0,4118835200,
argus-final,,Q01,csv,8,1,21850,364.087,60.020218,0.865197,192.625152,3.209338,0.008816,4310374586.181818,4379959296,
argus-final,,Q01,csv,8,2,22530,375.417,60.039634,0.949138,203.341713,3.386791,0.009025,4380751530.666667,4455723008,
argus-final,,Q01,csv,8,3,25776,429.474,60.024565,0.95036,235.150885,3.917578,0.009123,4484909397.333333,4502487040,
argus-final,,Q02,csv,1,1,156,2.596,60.101671,0.85738,60.299429,1.00329,0.386535,4709076992.0,4709572608,
argus-final,,Q02,csv,1,2,156,2.596,60.085586,0.943124,60.063859,0.999638,0.385025,4709462698.666667,4709945344,
argus-final,,Q02,csv,1,3,154,2.553,60.316231,0.852192,60.245439,0.998826,0.391204,4711097437.090909,4711731200,
argus-final,,Q02,csv,32,1,992,16.072,62.293389,0.912348,493.060448,7.915133,0.497037,4674607104.0,4676694016,
argus-final,,Q02,csv,32,2,991,16.039,62.709162,0.906131,496.459742,7.916861,0.500968,4659399338.666667,4663078912,
argus-final,,Q02,csv,32,3,990,16.022,62.298277,0.913459,492.87435,7.911525,0.497853,4643756032.0,4666064896,
argus-final,,Q02,csv,4,1,560,9.311,60.342687,0.939136,238.90671,3.959166,0.426619,4730521600.0,4732903424,
argus-final,,Q02,csv,4,2,516,8.545,60.86431,0.928798,241.600618,3.969496,0.468218,4726210901.333333,4726849536,
argus-final,,Q02,csv,4,3,556,9.215,60.388238,0.936347,239.62587,3.968088,0.430982,4713131349.333333,4714278912,
argus-final,,Q02,csv,8,1,955,15.821,60.700258,0.933331,468.646159,7.720662,0.490729,4732148394.666667,4737548288,
argus-final,,Q02,csv,8,2,954,15.792,60.555432,0.933405,467.435667,7.719137,0.489974,4714568362.666667,4716191744,
argus-final,,Q02,csv,8,3,952,15.796,60.719626,0.931314,468.682646,7.7188,0.492314,4685671424.0,4687220736,
argus-final,,Q03,csv,1,1,2577,42.947,60.003691,0.944583,51.787014,0.863064,0.020096,4594046634.666667,4599713792,
argus-final,,Q03,csv,1,2,2467,41.095,60.032165,0.944451,52.259926,0.870532,0.021184,4480433834.666667,4482822144,
argus-final,,Q03,csv,1,3,2544,42.4,60.000393,0.942743,51.87934,0.86465,0.020393,4450390016.0,4452311040,
argus-final,,Q03,csv,32,1,15348,246.999,62.137851,0.918767,425.848941,6.853294,0.027746,4617327616.0,4638560256,
argus-final,,Q03,csv,32,2,15413,256.265,60.223952,0.865052,416.116469,6.909485,0.026998,4700134306.909091,4711346176,
argus-final,,Q03,csv,32,3,15021,249.6,60.27749,0.866146,402.29473,6.674046,0.026782,4784790807.272727,4829528064,
argus-final,,Q03,csv,4,1,8230,137.016,60.074288,0.946284,188.382275,3.135822,0.02289,4466911573.333333,4483743744,
argus-final,,Q03,csv,4,2,8324,138.689,60.066291,0.943613,189.669688,3.157673,0.022786,4464075093.333333,4471775232,
argus-final,,Q03,csv,4,3,8339,138.954,60.058722,0.943985,189.920474,3.162246,0.022775,4480981674.666667,4485431296,
argus-final,,Q03,csv,8,1,12725,211.971,60.114292,0.947214,315.547192,5.249121,0.024797,4531134122.666667,4540084224,
argus-final,,Q03,csv,8,2,12653,210.604,60.110516,0.944968,315.191952,5.243541,0.02491,4557557077.333333,4567236608,
argus-final,,Q03,csv,8,3,12527,208.627,60.10033,0.945014,314.466819,5.232364,0.025103,4583482368.0,4593401856,
argus-final,,Q04,csv,1,1,3395,56.565,60.019759,0.945196,49.636015,0.826995,0.01462,4778984106.666667,4783620096,
argus-final,,Q04,csv,1,2,3329,55.473,60.010829,0.859764,49.709809,0.828347,0.014932,4782904785.454545,4786327552,
argus-final,,Q04,csv,1,3,3176,52.933,60.000379,0.943694,49.954161,0.832564,0.015729,4791272106.666667,4796010496,
argus-final,,Q04,csv,32,1,18416,306.58,60.073733,0.950456,374.218244,6.229316,0.02032,4951818240.0,4965326848,
argus-final,,Q04,csv,32,2,14963,249.044,60.084232,0.952006,302.246038,5.030372,0.0202,5125520042.666667,5257949184,
argus-final,,Q04,csv,32,3,15708,261.473,60.078323,0.868845,328.92351,5.474912,0.02094,5215537338.181818,5279682560,
argus-final,,Q04,csv,4,1,9872,164.477,60.021678,0.947268,174.884638,2.913691,0.017715,4804577962.666667,4813062144,
argus-final,,Q04,csv,4,2,9807,163.433,60.026732,0.947354,173.915456,2.8973,0.017734,4814097408.0,4821684224,
argus-final,,Q04,csv,4,3,9855,164.2,60.031226,0.85946,173.943029,2.897542,0.01765,4826117957.818182,4833980416,
argus-final,,Q04,csv,8,1,14828,247.03,60.043326,0.948966,280.302255,4.668333,0.018904,4876821504.0,4886638592,
argus-final,,Q04,csv,8,2,14736,245.509,60.037313,0.861286,279.686257,4.658541,0.01898,4906202949.818182,4915748864,
argus-final,,Q04,csv,8,3,14788,246.359,60.040102,0.862013,280.007521,4.663675,0.018935,4917894795.636364,4927672320,
argus-final,,Q05,csv,1,1,147,2.437,60.328389,0.85336,60.354585,1.000434,0.410575,5251398190.545455,5251694592,
argus-final,,Q05,csv,1,2,147,2.44,60.238,0.940036,60.239946,1.000032,0.409796,5251792213.333333,5252157440,
argus-final,,Q05,csv,1,3,147,2.439,60.260771,0.852564,60.207107,0.999109,0.409572,5252001047.272727,5252198400,
argus-final,,Q05,csv,32,1,920,14.826,62.762033,0.904112,498.802136,7.947514,0.542176,5223860224.0,5237055488,
argus-final,,Q05,csv,32,2,904,14.559,62.307186,0.912433,494.961957,7.943898,0.547524,5217856853.333333,5224812544,
argus-final,,Q05,csv,32,3,919,14.776,63.088901,0.902578,501.383853,7.947259,0.545575,5190335146.666667,5193031680,
argus-final,,Q05,csv,4,1,525,8.692,60.516409,0.850747,240.325136,3.971239,0.457762,5271073140.363636,5272260608,
argus-final,,Q05,csv,4,2,528,8.778,60.271609,0.854195,239.175339,3.968292,0.452984,5259045794.909091,5261778944,
argus-final,,Q05,csv,4,3,533,8.829,60.405722,0.935222,239.365865,3.962636,0.449092,5256075605.333333,5257035776,
argus-final,,Q05,csv,8,1,885,14.637,60.582459,0.849807,470.131851,7.760198,0.531222,5261982254.545455,5267832832,
argus-final,,Q05,csv,8,2,881,14.585,60.738627,0.846283,470.951537,7.75374,0.534565,5245804544.0,5248704512,
argus-final,,Q05,csv,8,3,883,14.625,60.888159,0.928482,471.437924,7.742686,0.533905,5225318058.666667,5227212800,
argus-final,,Q06,csv,1,1,147,2.441,60.213352,0.940672,60.266791,1.000888,0.409978,5109121365.333333,5109510144,
argus-final,,Q06,csv,1,2,151,2.505,60.268279,0.939786,60.217952,0.999165,0.398794,5095592277.333333,5098766336,
argus-final,,Q06,csv,1,3,151,2.508,60.21131,0.853327,60.165179,0.999234,0.398445,5091965114.181818,5092347904,
argus-final,,Q06,csv,32,1,920,14.808,63.031505,0.900818,497.961332,7.900197,0.541262,5039588010.666667,5061877760,
argus-final,,Q06,csv,32,2,921,14.81,63.012137,0.984161,497.658379,7.897818,0.540346,5028612253.538462,5031395328,
argus-final,,Q06,csv,32,3,923,14.909,62.550234,0.909409,494.483802,7.905387,0.535735,4999762944.0,5001793536,
argus-final,,Q06,csv,4,1,592,9.809,60.438341,0.936969,240.152955,3.97352,0.405664,5096916650.666667,5099520000,
argus-final,,Q06,csv,4,2,546,9.079,60.465042,0.93682,221.24344,3.659031,0.405208,5086545920.0,5098483712,
argus-final,,Q06,csv,4,3,528,8.754,60.356253,0.93622,239.746446,3.972189,0.454065,5079987882.666667,5082390528,
argus-final,,Q06,csv,8,1,882,14.62,60.493666,0.936422,466.187005,7.706377,0.528557,5090658986.666667,5092249600,
argus-final,,Q06,csv,8,2,889,14.709,60.591865,0.932868,466.30204,7.695786,0.524524,5065938261.333333,5068271616,
argus-final,,Q06,csv,8,3,887,14.65,60.585297,0.933755,467.057039,7.709082,0.526558,5051910826.666667,5053566976,
argus-final,,Q07,csv,1,1,212,3.529,60.069244,0.942568,59.855702,0.996445,0.282338,4937761109.333333,4943224832,
argus-final,,Q07,csv,1,2,208,3.45,60.296701,0.853342,60.022401,0.995451,0.288569,4900990603.636364,4906782720,
argus-final,,Q07,csv,1,3,207,3.436,60.246284,0.937715,59.94979,0.995079,0.289613,4902128298.666667,4907282432,
argus-final,,Q07,csv,32,1,1313,21.321,62.030801,0.915656,490.18597,7.9023,0.373333,4864601429.333333,4891107328,
argus-final,,Q07,csv,32,2,1311,21.338,62.14547,0.914931,490.612548,7.894583,0.374228,4839477248.0,4848525312,
argus-final,,Q07,csv,32,3,1317,21.482,61.66579,0.923292,487.559205,7.906478,0.370204,4805467477.333333,4815544320,
