target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-final,argus,Q01,csv,1,1,5230,0.0,87.157,0.010549,0.011967,0.009632,1003.0,0.25,True
argus-final,argus,Q01,csv,1,2,5185,0.0,86.408,0.010431,0.011866,0.009626,1003.0,0.255,True
argus-final,argus,Q01,csv,1,3,5678,0.0,94.629,0.01033,0.012157,0.009679,1003.0,0.265,True
argus-final,argus,Q01,csv,32,1,34732,0.0,578.572,0.054865,0.064914,0.05321,1003.0,0.41,True
argus-final,argus,Q01,csv,32,2,34185,0.0,556.484,0.054706,0.064644,0.053143,1003.0,0.39,True
argus-final,argus,Q01,csv,32,3,33850,0.0,563.824,0.054615,0.064919,0.053333,1003.0,0.39,True
argus-final,argus,Q01,csv,4,1,14810,0.0,240.861,0.01376,0.016398,0.012986,1003.0,0.23,True
argus-final,argus,Q01,csv,4,2,13314,0.0,221.876,0.013779,0.016549,0.012991,1003.0,0.23,True
argus-final,argus,Q01,csv,4,3,16173,0.0,269.492,0.013755,0.016466,0.013008,1003.0,0.24,True
argus-final,argus,Q01,csv,8,1,21850,0.0,364.087,0.017971,0.021869,0.017145,1003.0,0.35,True
argus-final,argus,Q01,csv,8,2,22530,0.0,375.417,0.017888,0.021721,0.01701,1003.0,0.35,True
argus-final,argus,Q01,csv,8,3,25776,0.0,429.474,0.017939,0.022004,0.017298,1003.0,0.355,True
argus-final,argus,Q02,csv,1,1,156,0.0,2.596,0.38507,0.391671,0.38869,38433.8,0.015,True
argus-final,argus,Q02,csv,1,2,156,0.0,2.596,0.38491,0.391766,0.388539,38357.7,0.015,True
argus-final,argus,Q02,csv,1,3,154,0.0,2.553,0.391941,0.397411,0.39408,38369.0,0.015,True
argus-final,argus,Q02,csv,32,1,992,0.0,16.072,1.983912,2.080915,2.075991,38406.1,0.03,True
argus-final,argus,Q02,csv,32,2,991,0.0,16.039,1.984586,2.08666,2.080706,38405.8,0.03,True
