target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
argus-scaling3,16,Q01,csv,32,1,48785,812.636,60.045352,0.930515,459.169593,7.647046,0.009412,3699474432.0,3821162496,
argus-scaling3,16,Q01,csv,32,2,49589,826.148,60.065829,0.92979,466.391274,7.764669,0.009405,3904059733.333333,3964829696,
argus-scaling3,16,Q01,csv,32,3,48732,811.777,60.059247,0.930101,458.804311,7.639195,0.009415,4231946922.666667,4338630656,
argus-scaling3,16,Q01,csv,8,1,31411,523.415,60.073202,0.926846,263.965704,4.394068,0.008404,3280483669.333333,3318091776,
argus-scaling3,16,Q01,csv,8,2,31779,529.536,60.083487,0.926692,267.437435,4.451097,0.008416,3350395221.333333,3368771584,
argus-scaling3,16,Q01,csv,8,3,31924,531.952,60.053288,0.927222,268.079359,4.464025,0.008397,3445558613.333333,3484180480,
argus-scaling3,16,Q05,csv,32,1,1034,16.647,62.420489,0.889463,505.650735,8.100717,0.489024,4356551338.666667,4359004160,
argus-scaling3,16,Q05,csv,32,2,1100,17.878,61.856605,0.97924,501.843204,8.113009,0.456221,4362389031.384615,4364877824,
argus-scaling3,16,Q05,csv,32,3,1085,17.534,61.971579,0.896117,503.062156,8.117627,0.463652,4369981098.666667,4373630976,
argus-scaling3,16,Q05,csv,8,1,1080,17.887,60.40889,0.919147,478.914611,7.927883,0.443439,4346514773.333333,4348489728,
argus-scaling3,16,Q05,csv,8,2,1048,17.343,60.571618,0.915719,480.472583,7.932306,0.458466,4333686784.0,4335992832,
argus-scaling3,16,Q05,csv,8,3,1050,17.388,60.701822,0.914512,480.803879,7.920749,0.457908,4350561621.333333,4353089536,
argus-scaling3,16,Q11,csv,32,1,2369,38.997,60.963871,0.912815,481.106767,7.89167,0.203084,4432596650.666667,4438949888,
argus-scaling3,16,Q11,csv,32,2,2371,39.011,60.884124,0.91436,481.021941,7.900614,0.202877,4415825237.333333,4422299648,
argus-scaling3,16,Q11,csv,32,3,2383,39.201,60.995513,0.912797,482.360985,7.908139,0.202418,4430692010.666667,4436946944,
argus-scaling3,16,Q11,csv,8,1,2252,37.461,60.236721,0.839216,451.066797,7.488236,0.200296,4373827956.363636,4378988544,
argus-scaling3,16,Q11,csv,8,2,2255,37.488,60.32082,0.922047,452.193431,7.496473,0.200529,4388729173.333333,4391632896,
argus-scaling3,16,Q11,csv,8,3,2252,37.431,60.328983,0.922061,451.729377,7.487767,0.20059,4405746005.333333,4410753024,
argus-scaling3,16,Q13,csv,32,1,1302,21.183,61.963458,0.977555,503.905543,8.132302,0.387024,4367125582.769231,4369833984,
argus-scaling3,16,Q13,csv,32,2,1295,21.14,61.617811,0.901276,501.278004,8.135278,0.387087,4373060608.0,4376346624,
argus-scaling3,16,Q13,csv,32,3,1291,21.002,61.836191,0.898084,503.013913,8.13462,0.389631,4333867008.0,4379176960,
argus-scaling3,16,Q13,csv,8,1,1237,20.494,60.432928,0.918184,478.198836,7.912885,0.386579,4430724096.0,4432740352,
argus-scaling3,16,Q13,csv,8,2,1257,20.834,60.585219,0.915649,479.040493,7.906887,0.381098,4418346666.666667,4434341888,
argus-scaling3,16,Q13,csv,8,3,1263,20.917,60.682702,0.914701,479.88176,7.908049,0.379954,4358186325.333333,4360220672,
argus-scaling3,16,mix,csv,32,1,1813,29.767,61.492618,0.90327,503.883883,8.194217,0.277928,3237138090.666667,3246444544,
argus-scaling3,16,mix,csv,32,2,1766,28.986,61.652522,0.900803,504.019982,8.175172,0.285402,3199656277.333333,3201478656,
argus-scaling3,16,mix,csv,32,3,1808,29.489,61.715911,0.981534,505.354133,8.188393,0.27951,3206009147.076923,3208105984,
argus-scaling3,16,mix,csv,8,1,1706,28.266,60.601782,0.915545,477.789714,7.884087,0.280064,3204074496.0,3207790592,
