target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
argus-scaling3,argus,Q01,csv,32,1,48785,0.0,812.636,0.038389,0.045451,0.037332,1003.0,0.55,True,16
argus-scaling3,argus,Q01,csv,32,2,49589,0.0,826.148,0.038252,0.044972,0.036934,1003.0,0.56,True,16
argus-scaling3,argus,Q01,csv,32,3,48732,0.0,811.777,0.038585,0.045695,0.037525,1003.0,0.565,True,16
argus-scaling3,argus,Q01,csv,8,1,31411,0.0,523.415,0.014778,0.017892,0.01432,1003.0,0.415,True,16
argus-scaling3,argus,Q01,csv,8,2,31779,0.0,529.536,0.014805,0.017971,0.014369,1003.0,0.42,True,16
argus-scaling3,argus,Q01,csv,8,3,31924,0.0,531.952,0.014761,0.017825,0.014237,1003.0,0.42,True,16
argus-scaling3,argus,Q05,csv,32,1,1034,0.0,16.647,1.93455,2.069192,2.0655,3808.7,0.03,True,16
argus-scaling3,argus,Q05,csv,32,2,1100,0.0,17.878,1.764344,1.998046,1.995136,3809.9,0.025,True,16
argus-scaling3,argus,Q05,csv,32,3,1085,0.0,17.534,1.814353,2.030288,2.027118,3775.0,0.03,True,16
argus-scaling3,argus,Q05,csv,8,1,1080,0.0,17.887,0.414899,0.544581,0.541942,3896.9,0.025,True,16
argus-scaling3,argus,Q05,csv,8,2,1048,0.0,17.343,0.417987,0.556889,0.554028,3800.1,0.02,True,16
argus-scaling3,argus,Q05,csv,8,3,1050,0.0,17.388,0.420902,0.535698,0.531926,3835.2,0.025,True,16
argus-scaling3,argus,Q11,csv,32,1,2369,0.0,38.997,0.818809,0.877346,0.674835,2996280.6,0.49,True,16
argus-scaling3,argus,Q11,csv,32,2,2371,0.0,39.011,0.817692,0.869514,0.666755,2995320.5,0.5,True,16
argus-scaling3,argus,Q11,csv,32,3,2383,0.0,39.201,0.81343,0.870211,0.666744,2995930.0,0.51,True,16
argus-scaling3,argus,Q11,csv,8,1,2252,0.0,37.461,0.213442,0.237656,0.031059,2996326.5,0.625,False,16
argus-scaling3,argus,Q11,csv,8,2,2255,0.0,37.488,0.212639,0.237274,0.030746,2995340.0,0.62,False,16
argus-scaling3,argus,Q11,csv,8,3,2252,0.0,37.431,0.21336,0.23689,0.030968,2995881.5,0.61,False,16
argus-scaling3,argus,Q13,csv,32,1,1302,0.0,21.183,1.495874,1.672056,1.669045,2263.7,0.03,True,16
argus-scaling3,argus,Q13,csv,32,2,1295,0.0,21.14,1.503353,1.705683,1.701336,2264.4,0.025,True,16
argus-scaling3,argus,Q13,csv,32,3,1291,0.0,21.002,1.515535,1.688572,1.685656,2264.4,0.03,True,16
argus-scaling3,argus,Q13,csv,8,1,1237,0.0,20.494,0.381572,0.517619,0.514235,2263.8,0.025,True,16
argus-scaling3,argus,Q13,csv,8,2,1257,0.0,20.834,0.375563,0.488353,0.48546,2264.8,0.03,True,16
argus-scaling3,argus,Q13,csv,8,3,1263,0.0,20.917,0.375999,0.496273,0.493362,2264.3,0.025,True,16
argus-scaling3,argus,mix,csv,32,1,1813,0.0,29.767,1.096103,1.468896,1.464945,43442.8,0.045,True,16
argus-scaling3,argus,mix,csv,32,2,1766,0.0,28.986,1.139449,1.494429,1.48953,43307.4,0.045,True,16
argus-scaling3,argus,mix,csv,32,3,1808,0.0,29.489,1.102098,1.435775,1.433094,43366.6,0.035,True,16
argus-scaling3,argus,mix,csv,8,1,1706,0.0,28.266,0.394476,0.536081,0.533272,41449.1,0.045,True,16
argus-scaling3,argus,mix,csv,8,2,1699,0.0,28.121,0.394204,0.535209,0.532372,42961.2,0.045,True,16
argus-scaling3,argus,mix,csv,8,3,1757,0.0,29.147,0.390548,0.531059,0.526605,43501.5,0.055,True,16
argus-scaling3,argus,Q01,votable,32,1,48358,0.0,805.662,0.03859,0.045857,0.037703,2254.0,0.53,True,16
argus-scaling3,argus,Q01,votable,32,2,48737,0.0,811.891,0.038601,0.04569,0.037467,2254.0,0.53,True,16
argus-scaling3,argus,Q01,votable,32,3,48795,0.0,812.807,0.038442,0.045805,0.037693,2254.0,0.535,True,16
argus-scaling3,argus,Q01,votable,8,1,31620,0.0,526.836,0.014927,0.018028,0.014427,2254.0,0.41,True,16
argus-scaling3,argus,Q01,votable,8,2,30901,0.0,514.933,0.014932,0.017941,0.014372,2254.0,0.42,True,16
argus-scaling3,argus,Q01,votable,8,3,30295,0.0,504.847,0.014927,0.017955,0.014321,2254.0,0.43,True,16
argus-scaling3,argus,Q05,votable,32,1,1165,0.0,18.869,1.652626,1.915237,1.912349,8186.0,0.03,True,16
argus-scaling3,argus,Q05,votable,32,2,1161,0.0,18.822,1.652001,1.942572,1.938765,7997.1,0.03,True,16
argus-scaling3,argus,Q05,votable,32,3,1158,0.0,18.741,1.655022,1.955084,1.951024,8064.8,0.03,True,16
argus-scaling3,argus,Q05,votable,8,1,1109,0.0,18.362,0.416139,0.531375,0.524106,8175.8,0.025,True,16
argus-scaling3,argus,Q05,votable,8,2,1106,0.0,18.35,0.420224,0.544749,0.542448,8131.2,0.025,True,16
argus-scaling3,argus,Q05,votable,8,3,1108,0.0,18.347,0.418299,0.51546,0.511557,8078.3,0.02,True,16
argus-scaling3,argus,Q11,votable,32,1,1858,0.0,30.477,1.042808,1.110752,0.847808,3958656.2,0.485,True,16
argus-scaling3,argus,Q11,votable,32,2,1868,0.0,30.645,1.038456,1.112972,0.84861,3958304.4,0.49,True,16
argus-scaling3,argus,Q11,votable,32,3,1875,0.0,30.72,1.037436,1.104158,0.845027,3958780.0,0.475,True,16
argus-scaling3,argus,Q11,votable,8,1,1787,0.0,29.667,0.268093,0.303881,0.030891,3958711.2,0.66,False,16
argus-scaling3,argus,Q11,votable,8,2,1790,0.0,29.722,0.267706,0.305485,0.030954,3957779.7,0.65,False,16
argus-scaling3,argus,Q11,votable,8,3,1790,0.0,29.735,0.268031,0.303481,0.030406,3958347.7,0.66,False,16
argus-scaling3,argus,Q13,votable,32,1,1316,0.0,21.4,1.481315,1.679635,1.67611,5210.8,0.035,True,16
argus-scaling3,argus,Q13,votable,32,2,1294,0.0,21.039,1.507301,1.689538,1.68657,5211.4,0.035,True,16
argus-scaling3,argus,Q13,votable,32,3,1313,0.0,21.34,1.482676,1.680519,1.677099,5211.3,0.03,True,16
argus-scaling3,argus,Q13,votable,8,1,1229,0.0,20.323,0.38018,0.518315,0.515307,5210.9,0.025,True,16
argus-scaling3,argus,Q13,votable,8,2,1288,0.0,21.348,0.366402,0.495263,0.492335,5211.8,0.025,True,16
argus-scaling3,argus,Q13,votable,8,3,1322,0.0,21.921,0.355325,0.485834,0.483343,5211.5,0.025,True,16
argus-scaling3,argus,mix,votable,32,1,1894,0.0,30.892,1.047988,1.397971,1.39459,59868.7,0.04,True,16
argus-scaling3,argus,mix,votable,32,2,1863,0.0,30.434,1.071958,1.427835,1.424748,60621.8,0.045,True,16
argus-scaling3,argus,mix,votable,32,3,1851,0.0,30.401,1.070967,1.416536,1.412193,59679.6,0.04,True,16
argus-scaling3,argus,mix,votable,8,1,1679,0.0,27.803,0.400185,0.540981,0.538026,57551.4,0.05,True,16
argus-scaling3,argus,mix,votable,8,2,1682,0.0,27.853,0.40223,0.536261,0.533302,59402.9,0.05,True,16
argus-scaling3,argus,mix,votable,8,3,1727,0.0,28.586,0.402505,0.527886,0.524589,60697.1,0.06,True,16
dachs-scaling3,dachs,Q01,csv,32,1,1036,0.0,16.772,1.883114,2.042194,2.041758,978.0,0.02,True,16
dachs-scaling3,dachs,Q01,csv,32,2,1038,0.0,16.847,1.881749,2.044335,2.043844,978.0,0.02,True,16
dachs-scaling3,dachs,Q01,csv,32,3,1040,0.0,16.864,1.874407,2.047824,2.047342,978.0,0.02,True,16
dachs-scaling3,dachs,Q01,csv,8,1,1123,0.0,18.659,0.438768,0.520923,0.52051,978.0,0.015,True,16
dachs-scaling3,dachs,Q01,csv,8,2,1135,0.0,18.847,0.431185,0.515981,0.515526,978.0,0.015,True,16
dachs-scaling3,dachs,Q01,csv,8,3,1135,0.0,18.856,0.432704,0.511738,0.511295,978.0,0.015,True,16
dachs-scaling3,dachs,Q05,csv,32,1,673,0.0,10.784,2.936372,3.267228,3.266758,3766.3,0.02,True,16
dachs-scaling3,dachs,Q05,csv,32,2,689,0.0,10.976,2.83774,3.154737,3.154307,3703.5,0.015,True,16
dachs-scaling3,dachs,Q05,csv,32,3,701,0.0,11.231,2.826717,3.129359,3.128908,3858.9,0.015,True,16
dachs-scaling3,dachs,Q05,csv,8,1,611,0.0,10.071,0.775439,1.032781,1.0323,3729.5,0.01,True,16
dachs-scaling3,dachs,Q05,csv,8,2,604,0.0,9.971,0.788522,1.010084,1.009639,3840.2,0.015,True,16
dachs-scaling3,dachs,Q05,csv,8,3,598,0.0,9.899,0.791444,1.052321,1.051873,3767.4,0.015,True,16
dachs-scaling3,dachs,Q11,csv,32,1,279,0.0,4.351,7.531322,12.499305,9.359572,2918123.1,0.03,True,16
dachs-scaling3,dachs,Q11,csv,32,2,264,0.0,4.32,8.0199,12.297133,9.966529,2918443.6,0.03,True,16
dachs-scaling3,dachs,Q11,csv,32,3,263,0.0,4.316,7.372531,11.414128,9.55164,2918290.0,0.03,True,16
dachs-scaling3,dachs,Q11,csv,8,1,252,0.0,4.094,2.072317,2.51104,2.353086,2918601.7,0.015,True,16
dachs-scaling3,dachs,Q11,csv,8,2,253,0.0,4.172,2.051329,2.62125,2.252158,2919134.3,0.02,True,16
dachs-scaling3,dachs,Q11,csv,8,3,252,0.0,4.146,2.042579,2.57616,2.306045,2918656.7,0.015,True,16
dachs-scaling3,dachs,Q13,csv,32,1,763,0.0,12.11,2.613175,2.909621,2.909187,2300.8,0.02,True,16
dachs-scaling3,dachs,Q13,csv,32,2,761,0.0,12.279,2.591983,2.926882,2.926344,2301.3,0.02,True,16
dachs-scaling3,dachs,Q13,csv,32,3,757,0.0,12.091,2.639288,2.936841,2.936385,2299.4,0.02,True,16
dachs-scaling3,dachs,Q13,csv,8,1,758,0.0,12.558,0.646116,0.894442,0.894019,2301.2,0.015,True,16
dachs-scaling3,dachs,Q13,csv,8,2,758,0.0,12.514,0.644398,0.890424,0.889976,2300.5,0.015,True,16
dachs-scaling3,dachs,Q13,csv,8,3,766,0.0,12.648,0.63488,0.91066,0.91021,2299.6,0.015,True,16
dachs-scaling3,dachs,mix,csv,32,1,697,0.0,11.05,2.836336,3.350774,3.350362,43402.1,0.02,True,16
dachs-scaling3,dachs,mix,csv,32,2,683,0.0,10.906,2.902063,3.399563,3.399109,40100.3,0.02,True,16
dachs-scaling3,dachs,mix,csv,32,3,695,0.0,11.073,2.829485,3.372247,3.3718,42413.8,0.02,True,16
dachs-scaling3,dachs,mix,csv,8,1,713,0.0,11.772,0.686675,1.087481,1.087012,42670.9,0.015,True,16
dachs-scaling3,dachs,mix,csv,8,2,707,0.0,11.65,0.730157,1.095668,1.095204,43131.8,0.015,True,16
dachs-scaling3,dachs,mix,csv,8,3,712,0.0,11.71,0.645869,1.106733,1.106301,44114.4,0.015,True,16
dachs-scaling3,dachs,Q01,votable,32,1,1023,0.0,16.698,1.914972,2.063218,2.062764,4706.0,0.02,True,16
dachs-scaling3,dachs,Q01,votable,32,2,1016,0.0,16.441,1.936393,2.075298,2.074877,4706.0,0.02,True,16
dachs-scaling3,dachs,Q01,votable,32,3,1009,0.0,16.355,1.942849,2.077973,2.077446,4706.0,0.015,True,16
dachs-scaling3,dachs,Q01,votable,8,1,1122,0.0,18.646,0.435421,0.52607,0.525627,4706.0,0.015,True,16
dachs-scaling3,dachs,Q01,votable,8,2,1109,0.0,18.407,0.440194,0.53699,0.536555,4706.0,0.02,True,16
dachs-scaling3,dachs,Q01,votable,8,3,1086,0.0,18.021,0.450973,0.535707,0.535206,4706.0,0.02,True,16
dachs-scaling3,dachs,Q05,votable,32,1,672,0.0,10.79,2.946985,3.24292,3.242426,10669.2,0.02,True,16
dachs-scaling3,dachs,Q05,votable,32,2,669,0.0,10.718,2.976487,3.247261,3.246865,10583.8,0.02,True,16
dachs-scaling3,dachs,Q05,votable,32,3,665,0.0,10.516,3.009354,3.311862,3.311446,10831.2,0.015,True,16
dachs-scaling3,dachs,Q05,votable,8,1,596,0.0,9.806,0.797181,1.016031,1.015542,10648.2,0.01,True,16
dachs-scaling3,dachs,Q05,votable,8,2,597,0.0,9.825,0.794577,1.050664,1.05024,10743.1,0.015,True,16
dachs-scaling3,dachs,Q05,votable,8,3,593,0.0,9.801,0.799897,1.024497,1.024045,10697.3,0.015,True,16
dachs-scaling3,dachs,Q11,votable,32,1,296,0.0,4.705,7.034469,10.835837,9.182173,3497376.0,0.03,True,16
dachs-scaling3,dachs,Q11,votable,32,2,295,0.0,4.706,7.474876,10.639924,9.022037,3498432.8,0.03,True,16
dachs-scaling3,dachs,Q11,votable,32,3,286,0.0,4.741,7.233864,9.649582,8.422584,3497836.4,0.03,True,16
dachs-scaling3,dachs,Q11,votable,8,1,263,0.0,4.336,1.886868,2.527568,2.323623,3496658.5,0.02,True,16
dachs-scaling3,dachs,Q11,votable,8,2,274,0.0,4.543,1.866365,2.130806,1.986883,3499094.6,0.02,True,16
dachs-scaling3,dachs,Q11,votable,8,3,277,0.0,4.533,1.838715,2.115189,2.033179,3498161.8,0.02,True,16
dachs-scaling3,dachs,Q13,votable,32,1,756,0.0,12.137,2.629788,2.932395,2.931906,5751.0,0.015,True,16
dachs-scaling3,dachs,Q13,votable,32,2,758,0.0,12.129,2.619996,2.904757,2.904312,5751.0,0.015,True,16
dachs-scaling3,dachs,Q13,votable,32,3,748,0.0,12.026,2.643712,2.932978,2.932507,5751.0,0.02,True,16
dachs-scaling3,dachs,Q13,votable,8,1,753,0.0,12.431,0.648108,0.896303,0.895726,5751.0,0.015,True,16
dachs-scaling3,dachs,Q13,votable,8,2,751,0.0,12.428,0.652672,0.909357,0.908919,5751.0,0.015,True,16
dachs-scaling3,dachs,Q13,votable,8,3,759,0.0,12.52,0.644053,0.894255,0.893773,5751.0,0.015,True,16
dachs-scaling3,dachs,mix,votable,32,1,698,0.0,11.135,2.802763,3.348099,3.347613,57855.6,0.025,True,16
dachs-scaling3,dachs,mix,votable,32,2,696,0.0,11.105,2.852677,3.293173,3.292773,54049.3,0.02,True,16
dachs-scaling3,dachs,mix,votable,32,3,702,0.0,11.274,2.810876,3.345372,3.34498,56759.4,0.02,True,16
dachs-scaling3,dachs,mix,votable,8,1,712,0.0,11.727,0.654941,1.113632,1.113179,56937.5,0.015,True,16
dachs-scaling3,dachs,mix,votable,8,2,714,0.0,11.801,0.695608,1.099163,1.098643,57866.7,0.015,True,16
dachs-scaling3,dachs,mix,votable,8,3,715,0.0,11.806,0.636185,1.10744,1.106992,59167.0,0.015,True,16
egernia-scaling3,egernia,Q01,csv,32,1,22779,0.0,379.296,0.083065,0.106069,0.101577,1835.0,0.155,True,16
egernia-scaling3,egernia,Q01,csv,32,2,22664,0.0,377.276,0.083416,0.106963,0.102791,1835.0,0.155,True,16
egernia-scaling3,egernia,Q01,csv,32,3,22725,0.0,378.417,0.083167,0.106291,0.10205,1835.0,0.15,True,16
egernia-scaling3,egernia,Q01,csv,8,1,25190,0.0,419.708,0.01727,0.029344,0.027914,1835.0,0.205,True,16
egernia-scaling3,egernia,Q01,csv,8,2,25092,0.0,418.107,0.017262,0.029806,0.028337,1835.0,0.21,True,16
egernia-scaling3,egernia,Q01,csv,8,3,25095,0.0,418.069,0.01719,0.029573,0.028173,1835.0,0.205,True,16
egernia-scaling3,egernia,Q05,csv,32,1,21339,0.0,355.222,0.088619,0.110591,0.10625,3864.4,0.14,True,16
egernia-scaling3,egernia,Q05,csv,32,2,21492,0.0,357.717,0.088096,0.112244,0.107876,3879.4,0.15,True,16
egernia-scaling3,egernia,Q05,csv,32,3,21492,0.0,357.696,0.087961,0.112246,0.108092,3857.5,0.145,True,16
egernia-scaling3,egernia,Q05,csv,8,1,23979,0.0,399.552,0.018304,0.030891,0.029386,3872.2,0.2,True,16
egernia-scaling3,egernia,Q05,csv,8,2,23681,0.0,394.51,0.018637,0.031114,0.029597,3858.4,0.2,True,16
egernia-scaling3,egernia,Q05,csv,8,3,23255,0.0,387.4,0.019264,0.03744,0.035693,3903.4,0.24,True,16
egernia-scaling3,egernia,Q11,csv,32,1,2501,0.0,41.453,0.75354,1.020754,0.702661,2996084.1,0.12,True,16
egernia-scaling3,egernia,Q11,csv,32,2,2493,0.0,41.272,0.754135,0.993312,0.716601,2995127.8,0.115,True,16
