target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
argus-scaling3,24,Q01,csv,32,1,51666,860.559,60.227129,0.928957,474.375881,7.876449,0.009182,2856418986.666667,2920878080,
argus-scaling3,24,Q01,csv,32,2,50609,843.171,60.205642,0.92939,464.580521,7.716561,0.00918,3114354346.666667,3200405504,
argus-scaling3,24,Q01,csv,32,3,51308,854.714,60.163785,0.846692,471.165775,7.831385,0.009183,3313920930.909091,3371237376,
argus-scaling3,24,Q01,csv,8,1,33580,559.577,60.11365,0.926674,275.405424,4.581412,0.008201,2464689834.666667,2506379264,
argus-scaling3,24,Q01,csv,8,2,33610,560.044,60.092246,0.927248,274.478226,4.567615,0.008167,2584413525.333333,2625802240,
argus-scaling3,24,Q01,csv,8,3,30280,504.553,60.089459,0.926493,249.042439,4.144528,0.008225,2696150016.0,2729877504,
argus-scaling3,24,Q11,csv,32,1,1892,31.053,61.235871,0.909165,504.121748,8.232458,0.266449,3422144853.333333,3426799616,
argus-scaling3,24,Q11,csv,32,2,1893,31.056,61.277391,0.908047,504.245751,8.228904,0.266374,3441601877.333333,3447058432,
argus-scaling3,24,Q11,csv,32,3,1899,31.131,61.465508,0.905823,506.877875,8.246542,0.266918,3454637738.666667,3458052096,
argus-scaling3,24,Q11,csv,8,1,1762,29.275,60.34608,0.923111,468.010463,7.755441,0.265613,3387743573.333333,3392491520,
argus-scaling3,24,Q11,csv,8,2,1815,30.132,60.44337,0.919781,477.929156,7.907057,0.263322,3384695125.333333,3389153280,
argus-scaling3,24,Q11,csv,8,3,1819,30.204,60.402352,0.920081,478.833178,7.927393,0.26324,3397422080.0,3402129408,
argus-scaling3,24,Q01,votable,32,1,51708,861.37,60.165421,0.930384,481.952682,8.01046,0.009321,1756213589.333333,1819607040,
argus-scaling3,24,Q01,votable,32,2,51459,857.202,60.207817,0.929161,479.599533,7.965735,0.00932,2014593024.0,2137137152,
argus-scaling3,24,Q01,votable,32,3,51894,864.413,60.179028,0.930463,482.622402,8.019777,0.0093,2261054464.0,2323423232,
argus-scaling3,24,Q01,votable,8,1,33990,566.385,60.104234,0.842974,280.252185,4.662769,0.008245,1339199860.363636,1376317440,
argus-scaling3,24,Q01,votable,8,2,32280,537.934,60.11287,0.925635,269.004948,4.474998,0.008333,1456862208.0,1501605888,
argus-scaling3,24,Q01,votable,8,3,33698,561.524,60.088326,0.842938,279.897669,4.658104,0.008306,1573664954.181818,1614667776,
argus-scaling3,24,Q11,votable,32,1,1457,23.762,61.712685,0.902551,493.451119,7.995943,0.338676,2364516352.0,2367619072,
argus-scaling3,24,Q11,votable,32,2,1449,23.713,61.896264,0.899408,494.736941,7.993002,0.341433,2376284160.0,2380312576,
argus-scaling3,24,Q11,votable,32,3,1450,23.745,61.72348,0.902092,493.119959,7.98918,0.340083,2388802560.0,2392604672,
argus-scaling3,24,Q11,votable,8,1,1423,23.598,60.503815,0.83723,474.055156,7.835128,0.333138,2331782050.909091,2336731136,
argus-scaling3,24,Q11,votable,8,2,1408,23.326,60.5142,0.919171,471.866096,7.797609,0.335132,2330694314.666667,2334453760,
argus-scaling3,24,Q11,votable,8,3,1420,23.549,60.521202,0.919169,473.178544,7.818393,0.333224,2342023850.666667,2346401792,
dachs-scaling3,24,Q01,csv,32,1,1056,17.193,62.442869,0.886204,126.555172,2.026735,0.119844,1048136704.0,1051881472,
dachs-scaling3,24,Q01,csv,32,2,1054,17.108,62.289044,0.888457,127.125495,2.040897,0.120612,1047383722.666667,1053392896,
dachs-scaling3,24,Q01,csv,32,3,1056,17.204,62.029452,0.973082,126.61188,2.041157,0.119898,1044381065.846154,1048526848,
dachs-scaling3,24,Q01,csv,8,1,1152,19.109,60.386961,0.915961,126.092493,2.088075,0.109455,1047446869.333333,1051058176,
dachs-scaling3,24,Q01,csv,8,2,1151,19.086,60.551504,0.913738,126.033932,2.081434,0.1095,1045797546.666667,1051029504,
dachs-scaling3,24,Q01,csv,8,3,1146,19.052,60.316772,0.917194,125.61786,2.082636,0.109614,1045523456.0,1048457216,
dachs-scaling3,24,Q11,csv,32,1,266,4.393,60.562456,0.914003,99.233089,1.638525,0.373057,1118612821.333333,1147588608,
dachs-scaling3,24,Q11,csv,32,2,291,4.377,66.48393,0.907926,108.216863,1.627715,0.371879,1116221124.923077,1151156224,
dachs-scaling3,24,Q11,csv,32,3,290,4.382,69.988573,0.934734,111.143375,1.588022,0.383253,1119677586.285714,1152036864,
dachs-scaling3,24,Q11,csv,8,1,257,4.227,60.873889,0.908911,92.217865,1.5149,0.358824,1078375765.333333,1104896000,
dachs-scaling3,24,Q11,csv,8,2,258,4.209,61.817712,0.975924,93.527268,1.512953,0.362509,1082008497.230769,1097240576,
dachs-scaling3,24,Q11,csv,8,3,258,4.253,62.094929,0.890915,93.445626,1.504883,0.362192,1084519765.333333,1105125376,
