target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
argus-scaling3,argus,Q01,csv,32,1,51666,0.0,860.559,0.036187,0.042945,0.035571,1003.0,0.33,True,24
argus-scaling3,argus,Q01,csv,32,2,50609,0.0,843.171,0.036258,0.044188,0.036357,1003.0,0.334,True,24
argus-scaling3,argus,Q01,csv,32,3,51308,0.0,854.714,0.036281,0.04405,0.036275,1003.0,0.329,True,24
argus-scaling3,argus,Q01,csv,8,1,33580,0.0,559.577,0.014027,0.01663,0.013368,1003.0,0.25,True,24
argus-scaling3,argus,Q01,csv,8,2,33610,0.0,560.044,0.014018,0.016593,0.013358,1003.0,0.26,True,24
argus-scaling3,argus,Q01,csv,8,3,30280,0.0,504.553,0.014043,0.01674,0.013393,1003.0,0.265,True,24
argus-scaling3,argus,Q11,csv,32,1,1892,0.0,31.053,1.021403,1.090709,0.830355,2995502.7,0.21,True,24
argus-scaling3,argus,Q11,csv,32,2,1893,0.0,31.056,1.023601,1.09857,0.83993,2996597.3,0.215,True,24
argus-scaling3,argus,Q11,csv,32,3,1899,0.0,31.131,1.022017,1.091193,0.837083,2996111.4,0.225,True,24
argus-scaling3,argus,Q11,csv,8,1,1762,0.0,29.275,0.270086,0.311423,0.027204,2995835.0,0.28,True,24
argus-scaling3,argus,Q11,csv,8,2,1815,0.0,30.132,0.260298,0.302236,0.024588,2996034.9,0.28,True,24
argus-scaling3,argus,Q11,csv,8,3,1819,0.0,30.204,0.259808,0.302122,0.024712,2996368.9,0.285,True,24
argus-scaling3,argus,Q01,votable,32,1,51708,0.0,861.37,0.036525,0.043069,0.035722,2254.0,0.335,True,24
argus-scaling3,argus,Q01,votable,32,2,51459,0.0,857.202,0.036407,0.042833,0.035533,2254.0,0.34,True,24
argus-scaling3,argus,Q01,votable,32,3,51894,0.0,864.413,0.036491,0.04283,0.035606,2254.0,0.34,True,24
argus-scaling3,argus,Q01,votable,8,1,33990,0.0,566.385,0.013867,0.016271,0.013112,2254.0,0.255,True,24
argus-scaling3,argus,Q01,votable,8,2,32280,0.0,537.934,0.01397,0.016369,0.013241,2254.0,0.265,True,24
argus-scaling3,argus,Q01,votable,8,3,33698,0.0,561.524,0.013977,0.016387,0.013241,2254.0,0.26,True,24
argus-scaling3,argus,Q11,votable,32,1,1457,0.0,23.762,1.335266,1.425088,1.086535,3958015.7,0.265,True,24
argus-scaling3,argus,Q11,votable,32,2,1449,0.0,23.713,1.337882,1.441264,1.099229,3958901.9,0.26,True,24
argus-scaling3,argus,Q11,votable,32,3,1450,0.0,23.745,1.33595,1.436774,1.092754,3958323.7,0.26,True,24
argus-scaling3,argus,Q11,votable,8,1,1423,0.0,23.598,0.33176,0.393601,0.02624,3957917.0,0.305,True,24
argus-scaling3,argus,Q11,votable,8,2,1408,0.0,23.326,0.335609,0.396068,0.026523,3958406.4,0.305,True,24
argus-scaling3,argus,Q11,votable,8,3,1420,0.0,23.549,0.332282,0.394319,0.026303,3958832.0,0.32,True,24
dachs-scaling3,dachs,Q01,csv,32,1,1056,0.0,17.193,1.857545,2.008384,2.008039,978.0,0.015,True,24
dachs-scaling3,dachs,Q01,csv,32,2,1054,0.0,17.108,1.863976,2.001681,2.001231,978.0,0.015,True,24
dachs-scaling3,dachs,Q01,csv,32,3,1056,0.0,17.204,1.847858,1.992343,1.991857,978.0,0.015,True,24
dachs-scaling3,dachs,Q01,csv,8,1,1152,0.0,19.109,0.42742,0.509353,0.508851,978.0,0.015,True,24
dachs-scaling3,dachs,Q01,csv,8,2,1151,0.0,19.086,0.424403,0.511727,0.51123,978.0,0.015,True,24
dachs-scaling3,dachs,Q01,csv,8,3,1146,0.0,19.052,0.428259,0.512256,0.511774,978.0,0.015,True,24
dachs-scaling3,dachs,Q11,csv,32,1,266,0.0,4.393,8.121516,12.529507,9.725182,2921176.8,0.02,True,24
dachs-scaling3,dachs,Q11,csv,32,2,291,0.0,4.377,7.236579,11.879612,9.200709,2917717.0,0.015,True,24
dachs-scaling3,dachs,Q11,csv,32,3,290,0.0,4.382,6.925707,12.15921,9.421024,2918614.7,0.015,True,24
dachs-scaling3,dachs,Q11,csv,8,1,257,0.0,4.227,1.978116,2.426765,2.309625,2920171.8,0.015,True,24
